"ST";"CLV";"Resp.";"COV";"EDUC";"EMPS";"GEN";"INC";"LOCC";"MARS";"MPA";"MSLC";"MSPI";"NOP";"PT";"TCA";"VC";"VS"
"OR";4901.892602;"No";"BAS";"HSOB";"EMP";"M";72859;"RUR";"DIV";61;6;5;9;"PERS";49.961074;"2D";"M"
"OR";4670.047979;"No";"EXT";"DOCT";"UNEMP";"M";0;"SUBU";"MAR";125;21;34;1;"CORP";600;"SUV";"M"
"CAL";15320.37177;"No";"EXT";"BACH";"EMP";"M";81955;"SUBU";"MAR";126;3;21;2;"CORP";720.054248;"SUV";"M"
"NEV";15641.25856;"No";"EXT";"MAST";"EMP";"F";32370;"URB";"MAR";130;31;84;2;"CORP";487.736171;"SUV";"M"
"OR";16699.46158;"No";"PREM";"BACH";"EMP";"F";81400;"SUBU";"MAR";104;6;19;2;"SPEC";499.2;"4D";"S"
"AR";2698.010741;"No";"BAS";"HSOB";"EMP";"M";95399;"RUR";"MAR";68;1;36;1;"PERS";78.003781;"2D";"M"
"AR";5332.462694;"Yes";"BAS";"DOCT";"EMP";"F";68931;"URB";"MAR";66;32;30;7;"SPEC";309.577946;"4D";"M"
"OR";5510.107444;"No";"BAS";"BACH";"EMP";"M";61401;"RUR";"MAR";69;8;77;3;"PERS";144.439335;"4D";"M"
"CAL";4766.645359;"No";"BAS";"BACH";"EMP";"F";70432;"RUR";"MAR";61;16;49;4;"PERS";6.422285;"4D";"M"
"AR";3337.59441;"No";"EXT";"BACH";"EMP";"F";43510;"URB";"MAR";83;8;75;1;"PERS";238.088581;"4D";"M"
"AR";2574.020376;"Yes";"BAS";"MAST";"EMP";"F";34990;"RUR";"SING";65;23;73;1;"PERS";42.689135;"4D";"M"
"AR";5395.346288;"No";"BAS";"BACH";"UNEMP";"F";0;"SUBU";"MAR";74;13;30;4;"PERS";355.2;"4D";"M"
"AR";5264.361755;"No";"BAS";"MAST";"ML";"M";14306;"URB";"DIV";74;31;22;7;"CORP";355.061143;"4D";"M"
"AR";35022.45478;"No";"EXT";"BACH";"EMP";"F";25270;"SUBU";"MAR";99;34;87;2;"PERS";712.8;"2D";"S"
"OR";6031.518652;"No";"EXT";"COLL";"EMP";"M";49539;"URB";"SING";79;15;83;5;"PERS";286.938064;"2D";"M"
"CAL";39365.29616;"No";"BAS";"MAST";"EMP";"F";99875;"RUR";"DIV";108;12;37;2;"PERS";114.972914;"SUV";"M"
"CAL";2722.210707;"Yes";"BAS";"COLL";"ML";"F";17576;"SUBU";"MAR";71;29;70;1;"SPEC";398.502948;"4D";"M"
"OR";18542.30074;"No";"BAS";"COLL";"UNEMP";"F";0;"SUBU";"MAR";72;30;48;2;"CORP";622.992063;"4D";"S"
"AR";8874.551335;"No";"BAS";"HSOB";"EMP";"F";84731;"RUR";"MAR";110;11;32;7;"PERS";226.738219;"SUV";"M"
"CAL";4861.493017;"No";"BAS";"COLL";"ML";"M";12153;"SUBU";"SING";69;23;9;8;"PERS";438.155584;"4D";"L"
"WASH";5626.572446;"No";"BAS";"COLL";"EMP";"F";59782;"SUBU";"MAR";70;29;51;9;"PERS";336;"4D";"S"
"AR";8491.858636;"No";"BAS";"MAST";"EMP";"M";27781;"SUBU";"MAR";71;33;7;2;"CORP";340.8;"4D";"M"
"CAL";5208.35385;"No";"BAS";"BACH";"UNEMP";"F";0;"SUBU";"SING";74;35;2;3;"PERS";532.8;"4D";"M"
"AR";5536.386959;"No";"BAS";"COLL";"EMP";"F";52220;"SUBU";"MAR";70;17;42;5;"PERS";336;"4D";"S"
"OR";6897.505859;"No";"PREM";"BACH";"EMP";"F";65337;"SUBU";"MAR";173;9;22;1;"PERS";830.4;"SUV";"L"
"CAL";7320.98824;"No";"BAS";"COLL";"EMP";"M";99722;"SUBU";"SING";61;6;48;2;"PERS";292.8;"4D";"S"
"AR";9487.721906;"No";"EXT";"MAST";"EMP";"M";56233;"SUBU";"MAR";79;30;61;2;"CORP";558.746277;"4D";"L"
"NEV";5619.689084;"Yes";"PREM";"HSOB";"UNEMP";"M";0;"SUBU";"MAR";153;25;5;1;"PERS";1027.000029;"SUV";"M"
"NEV";2635.505781;"No";"BAS";"MAST";"EMP";"M";77350;"SUBU";"DIV";66;11;4;1;"PERS";316.8;"4D";"M"
"NEV";5024.777578;"No";"BAS";"MAST";"EMP";"F";78772;"RUR";"MAR";62;9;47;8;"PERS";86.274545;"4D";"S"
"CAL";2592.437797;"Yes";"BAS";"HSOB";"EMP";"M";72421;"SUBU";"MAR";65;8;23;1;"PERS";312;"4D";"S"
"OR";7425.870642;"No";"BAS";"COLL";"EMP";"F";58042;"URB";"MAR";62;14;88;2;"CORP";161.419528;"4D";"M"
"OR";8007.349108;"No";"BAS";"COLL";"EMP";"F";65473;"URB";"MAR";67;4;14;2;"PERS";277.685667;"4D";"M"
"CAL";8547.586142;"No";"BAS";"HSOB";"EMP";"F";51179;"SUBU";"MAR";71;10;25;2;"CORP";466.176731;"4D";"S"
"OR";4863.266809;"No";"BAS";"BACH";"UNEMP";"M";0;"SUBU";"SING";70;3;35;5;"CORP";646.785442;"4D";"S"
"OR";3339.853704;"No";"EXT";"HSOB";"EMP";"F";51032;"URB";"MAR";83;5;56;1;"PERS";349.954886;"4D";"M"
"NEV";4646.387267;"No";"BAS";"COLL";"EMP";"M";37530;"SUBU";"MAR";117;26;58;1;"PERS";561.6;"SUV";"S"
"OR";4836.054291;"No";"BAS";"COLL";"UNEMP";"F";0;"SUBU";"SING";69;12;89;8;"PERS";632.081402;"4D";"S"
"WASH";4502.980016;"No";"BAS";"COLL";"UNEMP";"F";0;"SUBU";"SING";64;29;72;6;"PERS";307.2;"2D";"L"
"AR";3985.547406;"No";"PREM";"BACH";"EMP";"M";75007;"SUBU";"DIV";101;1;19;1;"PERS";668.773522;"4D";"M"
"AR";2563.863345;"No";"BAS";"BACH";"UNEMP";"F";0;"RUR";"MAR";69;13;74;1;"PERS";97.691104;"4D";"M"
"OR";2373.795076;"No";"BAS";"BACH";"UNEMP";"M";0;"SUBU";"MAR";65;32;88;1;"CORP";312;"2D";"M"
"CAL";4095.201692;"No";"BAS";"COLL";"EMP";"F";32180;"SUBU";"MAR";103;3;28;1;"SPEC";558.835255;"SPO";"S"
"AR";6457.560953;"No";"EXT";"BACH";"EMP";"M";37548;"RUR";"MAR";81;12;9;3;"SPEC";160.598662;"4D";"M"
"CAL";8509.850887;"Yes";"BAS";"MAST";"DIS";"M";26057;"SUBU";"DIV";74;3;63;2;"PERS";523.888845;"4D";"S"
"OR";7100.3251;"No";"PREM";"COLL";"EMP";"M";31670;"SUBU";"MAR";179;33;3;1;"CORP";1288.8;"SPO";"L"
"OR";5612.375586;"No";"EXT";"BACH";"UNEMP";"F";0;"SUBU";"SING";79;32;2;3;"CORP";379.2;"2D";"M"
"CAL";22110.39804;"No";"BAS";"BACH";"EMP";"F";65724;"RUR";"SING";70;13;66;2;"PERS";14.518312;"4D";"M"
"AR";2702.380487;"No";"BAS";"HSOB";"EMP";"F";46370;"SUBU";"MAR";68;28;86;1;"PERS";326.4;"2D";"M"
"WASH";5688.20499;"No";"BAS";"BACH";"EMP";"F";44833;"SUBU";"DIV";72;24;59;3;"PERS";345.6;"2D";"M"
"OR";6978.719808;"No";"EXT";"HSOB";"EMP";"M";53808;"RUR";"MAR";88;26;91;7;"PERS";189.835063;"4D";"M"
"CAL";3903.474784;"No";"EXT";"BACH";"EMP";"F";60068;"SUBU";"MAR";98;17;75;1;"PERS";470.4;"2D";"S"
"NEV";7126.596501;"No";"BAS";"COLL";"ML";"M";17483;"SUBU";"MAR";183;24;63;1;"PERS";1317.6;"LUX";"L"
"AR";13583.6249;"No";"PREM";"HSOB";"EMP";"M";58544;"SUBU";"MAR";114;19;48;2;"PERS";769.788818;"4D";"M"
"CAL";1898.007675;"No";"BAS";"BACH";"UNEMP";"M";0;"SUBU";"SING";67;15;91;1;"PERS";413.606733;"2D";"M"
"WASH";5154.051492;"No";"EXT";"HSOB";"EMP";"F";55645;"SUBU";"DIV";129;23;33;1;"PERS";619.2;"SUV";"M"
"OR";2551.349248;"No";"BAS";"BACH";"EMP";"M";88126;"RUR";"MAR";64;27;71;1;"PERS";151.973156;"4D";"M"
"OR";4369.697742;"No";"BAS";"MAST";"EMP";"M";40774;"URB";"MAR";110;28;59;1;"PERS";394.968488;"SPO";"M"
"OR";13156.74895;"No";"EXT";"HSOB";"EMP";"M";72517;"URB";"MAR";82;33;27;2;"PERS";371.458196;"2D";"M"
"CAL";19357.79964;"No";"PREM";"HSOB";"EMP";"F";25561;"SUBU";"MAR";163;3;25;2;"CORP";983.374985;"SUV";"M"
"CAL";5015.643575;"No";"EXT";"COLL";"EMP";"F";73809;"URB";"MAR";125;5;57;1;"SPEC";537.315879;"SUV";"M"
"OR";8776.363448;"No";"BAS";"HSOB";"EMP";"F";28360;"SUBU";"MAR";73;8;65;2;"PERS";863.909989;"4D";"M"
"AR";5232.333113;"No";"PREM";"COLL";"UNEMP";"M";0;"SUBU";"SING";154;26;85;1;"CORP";1140.523821;"SPO";"M"
"CAL";5480.070226;"No";"BAS";"DOCT";"EMP";"M";59311;"RUR";"DIV";69;8;38;9;"CORP";14.812808;"4D";"M"
"WASH";5083.789524;"No";"BAS";"BACH";"EMP";"F";62088;"RUR";"MAR";64;6;28;4;"CORP";73.258034;"2D";"M"
"OR";49221.43073;"No";"PREM";"BACH";"EMP";"F";63035;"SUBU";"MAR";153;20;97;2;"PERS";734.4;"SUV";"M"
"OR";4858.067125;"No";"BAS";"HSOB";"UNEMP";"M";0;"SUBU";"SING";67;0;79;3;"PERS";482.4;"4D";"M"
"AR";33053.26869;"No";"EXT";"COLL";"EMP";"M";44246;"SUBU";"MAR";122;1;18;2;"PERS";585.6;"SUV";"S"
"NEV";3536.64749;"No";"EXT";"HSOB";"EMP";"F";31727;"SUBU";"SING";92;1;95;1;"PERS";495.750669;"4D";"S"
"CAL";11926.75329;"No";"PREM";"COLL";"EMP";"M";50234;"SUBU";"DIV";101;12;1;2;"PERS";484.8;"4D";"S"
"CAL";2824.849967;"No";"BAS";"BACH";"EMP";"M";48008;"RUR";"MAR";73;33;55;1;"PERS";137.081716;"4D";"M"
"CAL";2004.350666;"Yes";"BAS";"COLL";"UNEMP";"F";0;"SUBU";"DIV";66;16;35;1;"CORP";316.8;"4D";"S"
"AR";5794.682724;"No";"BAS";"MAST";"EMP";"M";52979;"SUBU";"DIV";72;14;53;4;"PERS";345.6;"2D";"S"
"CAL";8382.630118;"Yes";"BAS";"HSOB";"RET";"M";19683;"SUBU";"MAR";117;17;41;9;"PERS";561.6;"SPO";"M"
"NEV";43290.49543;"No";"EXT";"COLL";"ML";"M";23203;"SUBU";"SING";132;21;71;2;"PERS";1158.79311;"SUV";"M"
"AR";3570.760509;"No";"EXT";"BACH";"EMP";"F";56168;"SUBU";"MAR";88;13;20;1;"PERS";614.675906;"4D";"S"
"CAL";11513.35549;"No";"BAS";"COLL";"ML";"M";16266;"SUBU";"MAR";100;11;23;2;"SPEC";1177.323534;"SUV";"M"
"AR";13309.33517;"No";"EXT";"COLL";"UNEMP";"M";0;"SUBU";"DIV";127;19;40;2;"PERS";609.6;"SUV";"M"
"NEV";5507.155471;"No";"BAS";"MAST";"EMP";"M";74960;"RUR";"SING";69;11;44;3;"CORP";107.985836;"4D";"M"
"CAL";8084.325058;"No";"BAS";"BACH";"DIS";"M";20169;"SUBU";"MAR";112;35;81;3;"PERS";537.6;"SUV";"S"
"CAL";19323.23675;"No";"EXT";"HSOB";"UNEMP";"F";0;"SUBU";"DIV";139;24;3;2;"PERS";1389.140121;"SUV";"S"
"WASH";2935.988346;"No";"BAS";"HSOB";"EMP";"F";73847;"SUBU";"MAR";73;34;51;1;"PERS";350.4;"2D";"S"
"AR";3225.395988;"No";"EXT";"MAST";"EMP";"M";29606;"SUBU";"MAR";81;33;32;1;"PERS";438.276898;"4D";"M"
"WASH";8564.768226;"Yes";"BAS";"HSOB";"EMP";"M";95697;"RUR";"MAR";107;29;29;9;"PERS";178.006524;"SPO";"M"
"NEV";2840.302575;"No";"BAS";"BACH";"EMP";"M";79181;"URB";"DIV";72;1;24;1;"PERS";241.277426;"4D";"M"
"WASH";27440.61101;"No";"EXT";"HSOB";"EMP";"M";84306;"SUBU";"MAR";137;16;37;2;"PERS";863.413385;"SUV";"L"
"NEV";33473.34946;"Yes";"BAS";"BACH";"EMP";"F";33190;"SUBU";"DIV";106;18;95;2;"PERS";508.8;"SUV";"M"
"CAL";2495.464753;"No";"BAS";"HSOB";"EMP";"M";26689;"SUBU";"MAR";64;34;23;1;"CORP";424.711758;"4D";"M"
"OR";5789.8509;"No";"BAS";"DOCT";"EMP";"F";77221;"URB";"MAR";71;2;49;7;"PERS";259.591385;"4D";"M"
"CAL";21240.94357;"No";"BAS";"COLL";"UNEMP";"F";0;"SUBU";"SING";190;7;45;2;"PERS";1368;"LUXS";"M"
"OR";7858.109763;"No";"BAS";"HSOB";"EMP";"F";28937;"RUR";"DIV";104;28;23;6;"PERS";117.959654;"SUV";"M"
"AR";15814.74557;"No";"PREM";"COLL";"UNEMP";"M";0;"SUBU";"SING";146;7;50;2;"PERS";1055.43784;"SUV";"M"
"OR";2533.796807;"No";"BAS";"HSOB";"UNEMP";"M";0;"SUBU";"SING";71;11;77;1;"CORP";517.056582;"4D";"M"
"OR";34090.03598;"No";"EXT";"DOCT";"EMP";"F";51840;"RUR";"MAR";94;10;75;2;"CORP";33.747903;"2D";"S"
"AR";5216.914471;"No";"BAS";"HSOB";"EMP";"M";60861;"RUR";"MAR";66;8;82;4;"PERS";65.425125;"4D";"S"
"OR";7019.177186;"Yes";"BAS";"COLL";"RET";"M";26806;"SUBU";"MAR";63;32;19;2;"CORP";302.4;"4D";"M"
"CAL";7870.360084;"No";"EXT";"MAST";"EMP";"M";75740;"RUR";"MAR";98;8;42;3;"PERS";46.702524;"4D";"M"
"OR";2867.312197;"Yes";"EXT";"BACH";"RET";"F";23376;"SUBU";"DIV";78;19;18;1;"PERS";374.4;"4D";"M"
"CAL";5755.539367;"No";"BAS";"COLL";"EMP";"M";97607;"RUR";"MAR";71;2;67;9;"PERS";60.021023;"2D";"M"
"CAL";3834.210713;"No";"BAS";"HSOB";"UNEMP";"M";0;"SUBU";"SING";112;13;13;1;"PERS";806.4;"SUV";"M"
"OR";8509.850887;"Yes";"BAS";"MAST";"DIS";"M";26057;"SUBU";"DIV";74;3;63;2;"PERS";523.888845;"4D";"S"
"CAL";3633.05403;"No";"EXT";"BACH";"EMP";"M";43334;"SUBU";"MAR";95;3;72;1;"CORP";614.367195;"2D";"S"
"OR";5163.228365;"No";"EXT";"HSOB";"EMP";"F";35577;"URB";"MAR";130;1;6;1;"PERS";574.51239;"SUV";"M"
"OR";5065.486772;"No";"BAS";"COLL";"EMP";"M";26733;"URB";"SING";66;7;55;5;"PERS";218.717113;"4D";"M"
"OR";4282.947971;"Yes";"BAS";"COLL";"EMP";"F";40864;"RUR";"MAR";109;16;70;1;"PERS";166.937747;"SUV";"M"
"OR";7809.855966;"No";"PREM";"COLL";"UNEMP";"F";0;"SUBU";"SING";111;29;60;3;"PERS";532.8;"2D";"M"
"CAL";3980.421464;"No";"EXT";"HSOB";"EMP";"M";98333;"URB";"MAR";99;16;69;1;"PERS";459.048775;"4D";"M"
"OR";3339.299496;"No";"EXT";"BACH";"EMP";"F";38821;"SUBU";"SING";87;14;64;1;"PERS";488.84232;"2D";"S"
"NEV";5388.023812;"No";"BAS";"COLL";"EMP";"M";48895;"URB";"MAR";68;16;27;7;"CORP";325.009146;"4D";"L"
"AR";2695.455483;"No";"EXT";"HSOB";"UNEMP";"M";0;"SUBU";"SING";76;33;84;1;"CORP";547.2;"4D";"S"
"WASH";2414.638309;"No";"BAS";"BACH";"EMP";"M";79271;"URB";"MAR";62;24;63;1;"PERS";232.753598;"4D";"M"
"WASH";2618.326183;"No";"BAS";"HSOB";"EMP";"M";28663;"SUBU";"MAR";66;23;34;1;"CORP";430.604489;"2D";"M"
"NEV";5639.941974;"Yes";"BAS";"HSOB";"EMP";"M";73168;"SUBU";"MAR";70;21;50;3;"PERS";425.800112;"4D";"M"
"WASH";4526.52638;"No";"BAS";"BACH";"UNEMP";"F";0;"SUBU";"SING";68;20;44;7;"PERS";326.4;"4D";"M"
"OR";4322.240343;"No";"BAS";"HSOB";"UNEMP";"F";0;"SUBU";"DIV";119;0;37;1;"PERS";571.2;"SUV";"M"
"WASH";2794.907476;"No";"BAS";"COLL";"EMP";"F";39783;"SUBU";"SING";72;28;43;1;"PERS";345.6;"2D";"M"
"OR";3460.66504;"No";"EXT";"COLL";"DIS";"F";14262;"URB";"MAR";90;27;9;1;"PERS";290.432527;"4D";"M"
"AR";4521.190551;"No";"BAS";"BACH";"EMP";"M";39426;"URB";"MAR";114;33;12;1;"SPEC";412.884282;"SUV";"M"
"CAL";4626.801093;"Yes";"BAS";"MAST";"EMP";"F";79487;"SUBU";"DIV";114;20;87;1;"SPEC";547.2;"SUV";"M"
"WASH";2734.439188;"No";"BAS";"COLL";"EMP";"M";54010;"SUBU";"MAR";69;5;89;1;"PERS";331.2;"4D";"M"
"AR";2652.067994;"No";"BAS";"COLL";"EMP";"F";49625;"URB";"MAR";66;29;9;1;"CORP";261.549577;"2D";"M"
"OR";7231.000788;"No";"BAS";"BACH";"EMP";"M";67276;"URB";"MAR";61;7;74;2;"PERS";181.804443;"2D";"M"
"OR";12168.74492;"Yes";"BAS";"BACH";"RET";"M";14973;"SUBU";"DIV";115;2;75;2;"PERS";828;"SUV";"M"
"WASH";2810.464447;"Yes";"BAS";"BACH";"EMP";"M";26790;"SUBU";"MAR";71;4;41;1;"PERS";340.8;"2D";"M"
"WASH";2443.665166;"No";"BAS";"COLL";"EMP";"M";92834;"SUBU";"MAR";61;15;56;1;"SPEC";292.8;"4D";"L"
"AR";21522.94749;"No";"EXT";"HSOB";"EMP";"F";44695;"RUR";"MAR";79;14;51;2;"PERS";81.166323;"2D";"M"
"NEV";41855.17315;"No";"EXT";"HSOB";"EMP";"M";28311;"SUBU";"MAR";134;7;70;2;"PERS";643.2;"SUV";"M"
"WASH";4817.992644;"No";"BAS";"COLL";"EMP";"M";38157;"RUR";"MAR";61;2;39;4;"PERS";81.53233;"2D";"M"
"CAL";2721.749756;"No";"BAS";"BACH";"ML";"M";22885;"SUBU";"MAR";73;20;46;1;"CORP";386.245297;"4D";"M"
"AR";9247.547393;"No";"PREM";"BACH";"EMP";"M";85654;"URB";"MAR";116;5;55;4;"PERS";346.265295;"2D";"L"
"AR";2769.252177;"No";"BAS";"BACH";"EMP";"M";40506;"RUR";"MAR";70;14;98;1;"PERS";113.724707;"4D";"M"
"OR";2487.777024;"No";"BAS";"BACH";"EMP";"M";69236;"RUR";"MAR";63;31;83;1;"PERS";110.868874;"4D";"M"
"AR";2370.618948;"No";"BAS";"HSOB";"UNEMP";"M";0;"SUBU";"SING";71;1;66;1;"PERS";511.2;"2D";"M"
"OR";4526.126785;"No";"BAS";"BACH";"UNEMP";"M";0;"SUBU";"MAR";64;32;89;3;"PERS";307.2;"4D";"S"
"NEV";4846.322223;"No";"BAS";"HSOB";"UNEMP";"M";0;"SUBU";"SING";72;31;75;9;"PERS";518.4;"4D";"M"
"OR";3861.486269;"Yes";"EXT";"COLL";"EMP";"F";93272;"URB";"MAR";95;3;54;1;"CORP";281.110788;"4D";"M"
"AR";19435.62924;"No";"EXT";"HSOB";"EMP";"F";38688;"SUBU";"SING";249;22;6;3;"SPEC";2294.631639;"LUX";"M"
"NEV";8663.363959;"No";"PREM";"DOCT";"EMP";"F";67763;"RUR";"MAR";107;28;10;9;"PERS";41.283167;"4D";"M"
"CAL";4916.373221;"No";"EXT";"HSOB";"EMP";"F";66982;"SUBU";"MAR";121;12;13;1;"CORP";871.2;"SUV";"M"
"CAL";7933.820656;"No";"BAS";"COLL";"EMP";"F";76505;"RUR";"MAR";65;32;89;2;"PERS";144.051716;"4D";"M"
"OR";2274.669484;"No";"BAS";"HSOB";"UNEMP";"F";0;"SUBU";"SING";64;12;25;1;"CORP";621.968062;"4D";"M"
"AR";11718.41696;"No";"BAS";"BACH";"EMP";"F";73903;"SUBU";"MAR";73;30;39;2;"CORP";439.361029;"4D";"S"
"NEV";3275.16199;"No";"EXT";"HSOB";"EMP";"F";69263;"SUBU";"MAR";81;8;12;1;"PERS";494.847804;"2D";"M"
"OR";5737.499595;"No";"BAS";"COLL";"EMP";"F";68946;"URB";"MAR";71;15;31;8;"PERS";309.627788;"4D";"M"
"AR";2379.825871;"No";"BAS";"HSOB";"EMP";"M";69202;"SUBU";"SING";61;33;12;1;"PERS";292.8;"2D";"S"
"AR";9546.81655;"No";"EXT";"COLL";"ML";"M";15406;"SUBU";"MAR";124;7;40;3;"PERS";892.8;"SUV";"M"
"NEV";9129.872774;"No";"BAS";"BACH";"EMP";"F";70973;"SUBU";"DIV";114;6;24;3;"PERS";547.2;"SUV";"S"
"AR";16280.19859;"No";"PREM";"HSOB";"UNEMP";"M";0;"SUBU";"SING";157;17;1;2;"PERS";753.6;"SPO";"M"
"AR";2163.870179;"No";"BAS";"COLL";"UNEMP";"M";0;"SUBU";"SING";63;0;75;1;"CORP";302.4;"2D";"M"
"CAL";5192.355227;"No";"BAS";"BACH";"EMP";"F";23059;"SUBU";"MAR";66;22;55;3;"PERS";372.430947;"2D";"M"
"AR";12296.49757;"No";"BAS";"HSOB";"EMP";"M";55193;"SUBU";"MAR";105;8;22;2;"PERS";504;"SUV";"M"
"OR";5170.450306;"No";"BAS";"HSOB";"EMP";"F";35334;"SUBU";"MAR";65;29;31;4;"PERS";468;"4D";"S"
"OR";4299.838835;"No";"PREM";"COLL";"EMP";"M";44388;"URB";"DIV";113;10;74;1;"PERS";496.843023;"4D";"M"
"OR";4296.604128;"No";"BAS";"COLL";"EMP";"F";61737;"URB";"MAR";107;21;65;1;"PERS";495.670802;"SPO";"M"
"CAL";7281.715134;"No";"EXT";"COLL";"EMP";"M";47482;"SUBU";"MAR";93;19;45;3;"CORP";594.177664;"4D";"S"
"AR";2590.096027;"No";"BAS";"HSOB";"EMP";"M";22398;"SUBU";"MAR";67;23;76;1;"PERS";321.6;"4D";"L"
"CAL";10179.71704;"Yes";"PREM";"BACH";"RET";"F";14290;"SUBU";"MAR";271;20;40;1;"PERS";1300.8;"LUXS";"M"
"CAL";7172.070153;"No";"BAS";"HSOB";"EMP";"F";73836;"URB";"MAR";182;8;35;1;"PERS";553.385695;"LUX";"M"
"WASH";4112.625047;"No";"BAS";"HSOB";"UNEMP";"M";0;"SUBU";"SING";71;16;90;9;"PERS";569.761582;"4D";"M"
"OR";3176.865609;"No";"EXT";"BACH";"EMP";"F";35551;"SUBU";"SING";81;33;52;1;"PERS";565.108501;"4D";"S"
"OR";6758.807188;"No";"BAS";"HSOB";"UNEMP";"M";0;"SUBU";"SING";191;22;38;1;"PERS";2042.569089;"LUX";"M"
"OR";3387.203337;"No";"EXT";"HSOB";"EMP";"F";73268;"RUR";"MAR";84;18;18;1;"PERS";93.623377;"4D";"M"
"CAL";14710.43268;"No";"EXT";"COLL";"DIS";"M";22872;"SUBU";"MAR";131;14;18;2;"PERS";754.845659;"SUV";"S"
"AR";6521.368813;"Yes";"EXT";"COLL";"EMP";"F";72608;"SUBU";"MAR";82;26;19;8;"SPEC";393.6;"4D";"M"
"AR";6438.97103;"No";"EXT";"BACH";"EMP";"F";90035;"RUR";"MAR";80;28;38;3;"PERS";141.628547;"4D";"M"
"WASH";9227.945752;"No";"EXT";"HSOB";"UNEMP";"F";0;"URB";"MAR";82;22;62;2;"PERS";296.637382;"2D";"M"
"CAL";10369.3874;"No";"BAS";"COLL";"UNEMP";"F";0;"SUBU";"MAR";69;35;50;2;"CORP";454.3585;"4D";"S"
"AR";13037.03339;"No";"BAS";"BACH";"EMP";"F";28582;"SUBU";"SING";112;27;24;2;"PERS";537.6;"SPO";"S"
"CAL";2520.028421;"No";"BAS";"COLL";"UNEMP";"F";0;"SUBU";"MAR";68;3;52;1;"PERS";326.4;"4D";"M"
"WASH";4903.152748;"No";"BAS";"HSOB";"UNEMP";"F";0;"SUBU";"SING";66;22;1;3;"CORP";475.2;"4D";"M"
"CAL";5414.320958;"No";"BAS";"BACH";"UNEMP";"F";0;"RUR";"MAR";74;17;51;4;"PERS";78.581528;"4D";"M"
"OR";11726.18921;"No";"EXT";"MAST";"EMP";"F";40564;"RUR";"MAR";97;0;36;2;"PERS";85.968142;"4D";"S"
"CAL";20600.23958;"No";"EXT";"BACH";"EMP";"M";64541;"URB";"MAR";86;16;43;2;"PERS";256.279637;"4D";"S"
"OR";5232.454958;"No";"BAS";"BACH";"EMP";"M";41596;"SUBU";"MAR";66;12;12;5;"PERS";316.8;"4D";"M"
"OR";8427.172486;"Yes";"EXT";"BACH";"EMP";"F";46503;"SUBU";"DIV";215;4;21;1;"PERS";1032;"LUXS";"M"
"CAL";4962.208409;"No";"BAS";"COLL";"EMP";"F";23300;"SUBU";"MAR";63;3;35;4;"CORP";339.906034;"4D";"S"
"WASH";3863.309585;"No";"BAS";"COLL";"EMP";"F";47199;"SUBU";"MAR";100;3;65;1;"CORP";480;"SUV";"M"
"CAL";4307.422775;"No";"BAS";"HSOB";"EMP";"M";73345;"SUBU";"MAR";107;7;62;1;"PERS";513.6;"SUV";"M"
"CAL";5884.308607;"No";"PREM";"HSOB";"UNEMP";"F";0;"SUBU";"SING";161;29;1;1;"PERS";1159.2;"SUV";"M"
"OR";5060.303189;"No";"EXT";"DOCT";"UNEMP";"M";0;"URB";"MAR";138;23;76;1;"PERS";570.777441;"SPO";"M"
"AR";2592.437797;"Yes";"BAS";"HSOB";"EMP";"M";72421;"SUBU";"MAR";65;8;23;1;"PERS";312;"4D";"S"
"CAL";7455.361568;"No";"EXT";"HSOB";"EMP";"F";74089;"SUBU";"MAR";94;13;89;7;"PERS";648.690215;"4D";"S"
"NEV";5107.163002;"Yes";"BAS";"BACH";"EMP";"F";35625;"URB";"MAR";65;10;56;3;"PERS";288.572108;"4D";"M"
"AR";4633.336334;"No";"BAS";"COLL";"ML";"M";27132;"SUBU";"SING";63;32;59;4;"PERS";302.4;"4D";"M"
"CAL";2903.939763;"No";"BAS";"COLL";"EMP";"F";67763;"RUR";"MAR";73;17;69;1;"PERS";59.861963;"4D";"M"
"CAL";2464.238061;"No";"BAS";"COLL";"EMP";"M";72834;"RUR";"DIV";65;12;81;1;"CORP";91.941259;"4D";"M"
"OR";9007.431501;"No";"PREM";"HSOB";"EMP";"M";41539;"SUBU";"SING";116;11;35;3;"PERS";556.8;"4D";"M"
"OR";5329.128301;"No";"BAS";"MAST";"UNEMP";"F";0;"SUBU";"DIV";72;18;39;4;"PERS";345.6;"4D";"L"
"CAL";14228.23432;"No";"EXT";"BACH";"EMP";"M";31650;"SUBU";"MAR";121;25;17;2;"PERS";580.8;"SUV";"M"
"CAL";6721.893743;"No";"EXT";"COLL";"EMP";"F";36510;"URB";"MAR";84;10;36;6;"PERS";286.781601;"4D";"M"
"CAL";44520.13577;"No";"PREM";"HSOB";"EMP";"M";49259;"SUBU";"SING";144;35;36;2;"PERS";820.431905;"SPO";"M"
"WASH";8875.965501;"No";"PREM";"DOCT";"EMP";"F";69205;"URB";"MAR";110;20;56;6;"PERS";372.362565;"4D";"M"
"CAL";5580.818466;"No";"BAS";"BACH";"EMP";"F";57883;"SUBU";"MAR";69;4;0;9;"PERS";431.847824;"4D";"S"
"WASH";4118.588554;"Yes";"PREM";"BACH";"EMP";"F";69379;"SUBU";"SING";103;14;79;1;"PERS";494.4;"2D";"M"
