"ST";"CLV";"Resp.";"COV";"EDUC";"EMPS";"GEN";"INC";"LOCC";"MARS";"MPA";"MSLC";"MSPI";"NOP";"PT";"TCA";"VC";"VS"
"NEV";5811.918112;"No";"Basic";"HSOB";"EMP";"M";83318;"SUBU";"MAR";72;21;58;3;"CORP";345.6;"4D";"Medsize"
"OR";4064.670639;"No";"Basic";"MAST";"RET";"F";26161;"SUBU";"SING";109;8;70;1;"PERS";594.444586;"SPO";"Large"
"CAL";2841.443088;"No";"Basic";"BACH";"EMP";"F";30473;"SUBU";"MAR";72;20;35;1;"CORP";450.080101;"4D";"Medsize"
"NEV";6832.133872;"No";"Extended";"COLL";"EMP";"M";50472;"URB";"MAR";87;6;67;3;"CORP";281.163705;"4D";"Medsize"
"NEV";5201.971427;"No";"Basic";"MAST";"EMP";"M";94186;"RUR";"MAR";64;20;50;3;"PERS";135.340489;"4D";"Medsize"
"AR";5484.588155;"No";"Basic";"HSOB";"EMP";"M";47611;"SUBU";"MAR";69;17;65;4;"CORP";593.654484;"4D";"Small"
"CAL";7672.681366;"No";"Premium";"HSOB";"UNEMP";"M";0;"SUBU";"MAR";103;17;56;4;"PERS";518.720216;"4D";"Medsize"
"OR";8272.485353;"No";"Basic";"HSOB";"EMP";"M";91245;"RUR";"DIV";69;16;50;2;"CORP";19.251693;"4D";"Small"
"AR";3330.672761;"No";"Extended";"HSOB";"EMP";"F";45944;"RUR";"MAR";83;20;4;1;"PERS";182.948495;"2D";"Medsize"
"CAL";5562.456386;"No";"Basic";"COLL";"EMP";"F";59649;"RUR";"MAR";69;33;71;8;"PERS";167.738267;"4D";"Medsize"
"OR";2452.738575;"No";"Basic";"BACH";"EMP";"F";52785;"RUR";"MAR";61;2;90;1;"CORP";45.721456;"2D";"Medsize"
"OR";7920.28288;"No";"Basic";"HSOB";"EMP";"F";59648;"SUBU";"MAR";66;20;72;2;"PERS";316.8;"4D";"Medsize"
"OR";3861.486269;"Yes";"Extended";"COLL";"EMP";"F";93272;"URB";"MAR";95;3;54;1;"CORP";281.110788;"4D";"Medsize"
"AR";5764.784159;"No";"Basic";"BACH";"EMP";"M";22134;"SUBU";"MAR";72;13;81;3;"CORP";445.879224;"4D";"Medsize"
"WASH";5375.842787;"No";"Basic";"COLL";"EMP";"F";69050;"SUBU";"MAR";67;17;38;3;"PERS";334.892437;"4D";"Large"
"AR";2882.350556;"No";"Basic";"MAST";"EMP";"M";87798;"URB";"MAR";71;18;73;1;"PERS";204.448708;"2D";"Medsize"
"CAL";2213.187935;"No";"Basic";"BACH";"UNEMP";"M";0;"SUBU";"DIV";63;0;66;1;"PERS";305.552429;"4D";"Small"
"CAL";9429.629367;"No";"Basic";"MAST";"EMP";"F";43811;"SUBU";"MAR";117;24;10;4;"PERS";571.136574;"SPO";"Small"
"CAL";6239.257541;"No";"Extended";"COLL";"UNEMP";"F";0;"SUBU";"SING";91;25;63;3;"CORP";655.2;"2D";"Medsize"
"NEV";7668.809595;"No";"Extended";"BACH";"EMP";"F";92456;"SUBU";"DIV";95;8;3;4;"SPEC";456;"4D";"Medsize"
"CAL";13770.97618;"Yes";"Premium";"HSOB";"EMP";"F";59207;"SUBU";"SING";116;23;21;2;"PERS";556.8;"4D";"Medsize"
"CAL";2742.844251;"No";"Basic";"HSOB";"EMP";"F";64519;"SUBU";"MAR";69;6;29;1;"CORP";331.2;"4D";"Medsize"
"OR";13466.92071;"Yes";"Basic";"HSOB";"DIS";"F";11432;"SUBU";"MAR";119;11;9;2;"PERS";571.2;"SUV";"Small"
"NEV";8858.352032;"No";"Extended";"COLL";"UNEMP";"F";0;"RUR";"MAR";80;6;28;2;"PERS";81.255741;"2D";"Large"
"CAL";8485.330004;"No";"Basic";"HSOB";"EMP";"M";32607;"SUBU";"SING";111;27;79;8;"CORP";532.8;"SUV";"Medsize"
"AR";7744.644444;"No";"Basic";"HSOB";"DIS";"F";26444;"SUBU";"MAR";196;4;14;1;"PERS";940.8;"LUX";"Medsize"
"OR";5894.907375;"No";"Basic";"HSOB";"EMP";"F";39381;"SUBU";"MAR";74;6;55;7;"PERS";355.2;"4D";"Small"
"NEV";5770.684097;"No";"Extended";"COLL";"UNEMP";"M";0;"SUBU";"SING";83;21;67;8;"PERS";946.345269;"4D";"Medsize"
"OR";5261.117506;"No";"Basic";"HSOB";"EMP";"M";90217;"SUBU";"MAR";66;14;88;5;"PERS";316.8;"4D";"Small"
"OR";2403.53947;"No";"Basic";"HSOB";"DIS";"M";24248;"SUBU";"MAR";70;33;82;1;"PERS";336;"4D";"Medsize"
"AR";9124.600015;"No";"Premium";"BACH";"EMP";"M";99368;"RUR";"MAR";113;34;6;3;"PERS";82.427785;"4D";"Medsize"
"AR";26180.80528;"No";"Extended";"HSOB";"EMP";"F";68189;"URB";"MAR";82;10;17;2;"SPEC";343.121192;"4D";"Medsize"
"NEV";15641.25856;"No";"Extended";"MAST";"EMP";"F";32370;"URB";"MAR";130;31;84;2;"CORP";487.736171;"SUV";"Medsize"
"AR";2574.020376;"Yes";"Basic";"MAST";"EMP";"F";34990;"RUR";"SING";65;23;73;1;"PERS";42.689135;"4D";"Medsize"
"CAL";5319.838729;"No";"Basic";"HSOB";"EMP";"F";25714;"SUBU";"MAR";67;17;57;5;"PERS";321.6;"2D";"Small"
"OR";7496.006588;"No";"Extended";"COLL";"EMP";"M";61091;"URB";"SING";95;17;64;8;"PERS";409.868003;"2D";"Medsize"
"AR";12174.58958;"No";"Premium";"COLL";"EMP";"M";88184;"RUR";"MAR";104;5;97;2;"PERS";240.176533;"4D";"Medsize"
"CAL";2605.570828;"No";"Basic";"COLL";"EMP";"F";60252;"URB";"MAR";65;10;8;1;"PERS";182.436205;"4D";"Medsize"
"OR";2707.20846;"No";"Basic";"COLL";"EMP";"M";80985;"RUR";"MAR";67;0;52;1;"PERS";124.933587;"4D";"Medsize"
"WASH";5528.212807;"Yes";"Basic";"BACH";"EMP";"M";36088;"SUBU";"SING";72;16;31;9;"PERS";345.6;"4D";"Medsize"
"CAL";8819.018934;"Yes";"Basic";"HSOB";"EMP";"M";99845;"SUBU";"MAR";110;23;25;8;"PERS";528;"SUV";"Medsize"
"WASH";19014.47625;"No";"Basic";"HSOB";"EMP";"F";29822;"SUBU";"SING";61;17;44;2;"PERS";292.8;"2D";"Medsize"
"OR";8169.513982;"No";"Basic";"COLL";"EMP";"F";40803;"RUR";"SING";71;8;19;2;"PERS";122.912377;"4D";"Medsize"
"OR";7708.883885;"No";"Extended";"COLL";"EMP";"F";71134;"RUR";"MAR";98;21;95;8;"PERS";196.37368;"2D";"Medsize"
"AR";5528.212807;"Yes";"Basic";"BACH";"EMP";"M";36088;"SUBU";"SING";72;16;31;9;"PERS";345.6;"4D";"Medsize"
"NEV";12128.4467;"No";"Basic";"COLL";"EMP";"M";29431;"RUR";"MAR";103;29;35;2;"PERS";237.896227;"SUV";"Medsize"
"WASH";9080.28284;"No";"Basic";"HSOB";"EMP";"M";68073;"SUBU";"MAR";114;16;63;8;"PERS";547.2;"SUV";"Medsize"
"OR";6796.844769;"No";"Basic";"COLL";"ML";"M";17937;"SUBU";"SING";65;1;27;2;"PERS";312;"2D";"Medsize"
"AR";2867.312197;"Yes";"Extended";"BACH";"RET";"F";23376;"SUBU";"DIV";78;19;18;1;"PERS";374.4;"4D";"Medsize"
"CAL";2395.57;"Yes";"Basic";"DOCT";"DIS";"F";21986;"SUBU";"DIV";63;1;9;1;"PERS";333.696228;"2D";"Medsize"
"AR";7094.167717;"No";"Extended";"BACH";"EMP";"F";23032;"SUBU";"MAR";89;30;22;7;"CORP";427.2;"4D";"Medsize"
"OR";4128.091334;"No";"Basic";"COLL";"EMP";"F";32114;"URB";"MAR";104;22;50;1;"CORP";445.29049;"SUV";"Medsize"
"CAL";4046.936065;"No";"Basic";"BACH";"DIS";"M";13330;"SUBU";"SING";117;33;74;1;"CORP";561.6;"SUV";"Medsize"
"CAL";4869.282783;"No";"Basic";"COLL";"EMP";"F";44934;"SUBU";"MAR";61;9;60;4;"PERS";357.926979;"4D";"Medsize"
"OR";2902.151897;"No";"Basic";"COLL";"EMP";"F";96137;"RUR";"MAR";73;17;34;1;"CORP";67.490616;"2D";"Medsize"
"OR";4282.947971;"Yes";"Basic";"COLL";"EMP";"F";40864;"RUR";"MAR";109;16;70;1;"PERS";166.937747;"SUV";"Medsize"
"CAL";7750.120323;"No";"Basic";"COLL";"EMP";"F";22668;"RUR";"SING";67;5;34;2;"PERS";33.718553;"4D";"Medsize"
"OR";6627.174629;"No";"Extended";"COLL";"EMP";"M";90751;"URB";"MAR";82;2;22;8;"PERS";315.826382;"2D";"Medsize"
"OR";7474.605769;"No";"Basic";"COLL";"EMP";"M";44186;"URB";"MAR";64;9;96;2;"PERS";295.04969;"4D";"Medsize"
"OR";5561.291397;"No";"Basic";"COLL";"EMP";"M";92678;"RUR";"DIV";70;0;67;3;"PERS";34.689611;"4D";"Small"
"AR";6098.462114;"No";"Extended";"BACH";"EMP";"F";74257;"URB";"MAR";76;16;91;3;"PERS";214.586742;"4D";"Large"
"CAL";2859.52893;"No";"Basic";"BACH";"EMP";"M";99981;"URB";"MAR";71;2;22;1;"SPEC";204.872273;"4D";"Small"
"AR";5994.424627;"No";"Extended";"COLL";"UNEMP";"M";0;"SUBU";"SING";91;26;89;6;"PERS";655.2;"4D";"Small"
"AR";5635.249486;"No";"Basic";"COLL";"ML";"F";19591;"RUR";"DIV";74;8;79;4;"PERS";95.925021;"2D";"Medsize"
"CAL";5067.208338;"No";"Extended";"COLL";"EMP";"F";29095;"SUBU";"MAR";127;2;80;1;"PERS";664.280864;"SUV";"Medsize"
"OR";2263.284608;"No";"Basic";"BACH";"UNEMP";"F";0;"SUBU";"MAR";62;25;15;1;"CORP";389.750793;"4D";"Medsize"
"AR";14435.67365;"Yes";"Premium";"MAST";"EMP";"M";60880;"RUR";"MAR";119;25;89;2;"CORP";109.906628;"2D";"Medsize"
"AR";4928.397077;"No";"Basic";"BACH";"EMP";"F";61785;"URB";"MAR";61;31;47;5;"PERS";271.10697;"2D";"Large"
"OR";12036.62051;"Yes";"Basic";"BACH";"EMP";"M";44428;"SUBU";"SING";104;17;61;2;"SPEC";499.2;"SUV";"Medsize"
"CAL";8564.768226;"Yes";"Basic";"HSOB";"EMP";"M";95697;"RUR";"MAR";107;29;29;9;"PERS";178.006524;"SPO";"Medsize"
"CAL";2361.883909;"No";"Basic";"BACH";"ML";"F";18064;"URB";"MAR";63;10;45;1;"PERS";182.964184;"4D";"Medsize"
"CAL";5565.693282;"No";"Basic";"HSOB";"EMP";"M";74720;"URB";"DIV";70;15;99;3;"PERS";200.812425;"2D";"Medsize"
"CAL";5146.80976;"No";"Basic";"BACH";"DIS";"F";22594;"SUBU";"MAR";67;22;41;3;"PERS";321.6;"4D";"Medsize"
"AR";2938.080327;"No";"Basic";"BACH";"EMP";"F";40987;"URB";"DIV";73;6;15;1;"PERS";329.013275;"4D";"Medsize"
"NEV";14432.74644;"No";"Extended";"HSOB";"DIS";"M";24561;"SUBU";"MAR";126;1;31;2;"PERS";853.473552;"SUV";"Small"
"CAL";13027.41984;"No";"Extended";"COLL";"EMP";"F";76456;"RUR";"SING";83;27;34;2;"PERS";42.693918;"4D";"Medsize"
"CAL";2451.988783;"No";"Basic";"COLL";"EMP";"M";65828;"SUBU";"DIV";62;22;3;1;"PERS";297.6;"4D";"Small"
"OR";4661.984144;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"SING";68;0;48;5;"PERS";489.6;"4D";"Medsize"
"AR";5600.010179;"No";"Basic";"BACH";"EMP";"F";63621;"SUBU";"MAR";70;8;48;5;"PERS";444.620265;"4D";"Medsize"
"AR";4016.132772;"No";"Basic";"COLL";"ML";"M";10074;"RUR";"MAR";107;33;42;1;"CORP";108.995934;"SUV";"Medsize"
"OR";22195.80299;"No";"Basic";"COLL";"EMP";"F";78965;"RUR";"MAR";183;3;78;2;"PERS";145.587985;"LUX";"Medsize"
"NEV";7343.353716;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"SING";68;16;57;2;"PERS";479.028818;"4D";"Medsize"
"AR";4804.514274;"No";"Basic";"BACH";"DIS";"M";23604;"SUBU";"MAR";64;4;86;8;"CORP";460.8;"2D";"Medsize"
"OR";2735.538859;"No";"Basic";"COLL";"EMP";"F";99205;"URB";"MAR";68;7;21;1;"PERS";323.246017;"2D";"Medsize"
"AR";6940.972823;"No";"Extended";"COLL";"UNEMP";"M";0;"SUBU";"MAR";92;4;60;3;"PERS";441.6;"2D";"Medsize"
"CAL";2396.219292;"Yes";"Basic";"BACH";"UNEMP";"F";0;"SUBU";"MAR";66;6;71;1;"CORP";433.160284;"4D";"Large"
"NEV";5380.898636;"Yes";"Basic";"COLL";"EMP";"F";55350;"SUBU";"MAR";67;0;13;9;"PERS";321.6;"4D";"Medsize"
"OR";8432.815731;"No";"Basic";"COLL";"DIS";"M";21052;"URB";"MAR";111;12;55;5;"CORP";453.578343;"SUV";"Medsize"
"OR";7556.507482;"No";"Basic";"HSOB";"UNEMP";"F";0;"SUBU";"SING";69;5;64;2;"PERS";496.8;"4D";"Medsize"
"AR";7787.431684;"No";"Basic";"HSOB";"ML";"M";24664;"SUBU";"MAR";69;12;15;2;"CORP";496.8;"4D";"Medsize"
"NEV";4787.812897;"No";"Extended";"COLL";"EMP";"M";45225;"RUR";"SING";124;15;83;1;"CORP";209.176923;"SPO";"Small"
"CAL";9707.647552;"No";"Extended";"COLL";"EMP";"M";30430;"SUBU";"SING";86;6;77;2;"SPEC";425.662574;"4D";"Small"
"CAL";2552.226197;"No";"Basic";"BACH";"EMP";"F";35149;"RUR";"MAR";64;26;33;1;"PERS";120.477298;"2D";"Medsize"
"CAL";5223.429265;"No";"Basic";"BACH";"ML";"M";16513;"SUBU";"DIV";71;23;37;6;"PERS";340.8;"4D";"Medsize"
"NEV";5010.44933;"No";"Basic";"HSOB";"DIS";"M";10892;"SUBU";"DIV";66;16;9;3;"PERS";316.8;"4D";"Medsize"
"WASH";5597.12496;"Yes";"Extended";"HSOB";"EMP";"F";37995;"SUBU";"MAR";139;16;50;1;"PERS";667.2;"SUV";"Medsize"
"OR";4457.936252;"No";"Basic";"COLL";"EMP";"M";54704;"URB";"DIV";113;6;75;1;"PERS";468.176056;"SUV";"Medsize"
"OR";8200.78728;"No";"Basic";"DOCT";"EMP";"M";25381;"SUBU";"SING";71;22;62;2;"PERS";340.8;"4D";"Medsize"
"OR";2746.080105;"No";"Basic";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";74;5;75;1;"PERS";355.2;"4D";"Medsize"
"OR";10215.77915;"No";"Basic";"BACH";"DIS";"F";18150;"URB";"MAR";67;17;34;2;"CORP";220.304649;"4D";"Medsize"
"CAL";2453.570794;"Yes";"Basic";"BACH";"ML";"M";29735;"SUBU";"SING";69;3;92;1;"PERS";331.2;"4D";"Medsize"
"NEV";5872.958817;"No";"Basic";"COLL";"EMP";"F";77156;"SUBU";"DIV";73;30;39;7;"PERS";445.817914;"4D";"Small"
"OR";3118.927949;"No";"Extended";"COLL";"EMP";"F";88782;"URB";"DIV";78;6;38;1;"PERS";357.757645;"4D";"Large"
"CAL";5568.656492;"No";"Extended";"COLL";"EMP";"F";51489;"RUR";"MAR";139;14;10;1;"PERS";236.739322;"SUV";"Medsize"
"CAL";9029.71466;"No";"Extended";"BACH";"RET";"F";16972;"SUBU";"DIV";125;17;89;5;"PERS";600;"SUV";"Large"
"CAL";7591.827171;"No";"Extended";"BACH";"EMP";"M";99359;"RUR";"MAR";95;16;19;9;"PERS";233.265397;"2D";"Medsize"
"AR";2255.312942;"No";"Basic";"COLL";"EMP";"M";58289;"SUBU";"SING";62;18;92;1;"PERS";297.6;"2D";"Medsize"
"OR";32613.69038;"No";"Premium";"DOCT";"EMP";"F";45173;"SUBU";"MAR";268;20;57;2;"PERS";1286.4;"LUX";"Medsize"
"CAL";9445.649461;"No";"Extended";"BACH";"EMP";"F";93246;"RUR";"MAR";78;31;24;2;"PERS";41.628869;"2D";"Medsize"
"AR";6803.596768;"No";"Premium";"HSOB";"EMP";"M";43758;"SUBU";"MAR";171;16;29;1;"CORP";1129.929433;"SUV";"Medsize"
"OR";9766.217126;"No";"Extended";"BACH";"EMP";"M";75651;"URB";"MAR";81;23;60;2;"PERS";375.11129;"4D";"Large"
"AR";7294.846132;"No";"Basic";"DOCT";"UNEMP";"F";0;"SUBU";"DIV";67;13;91;2;"PERS";321.6;"4D";"Medsize"
"OR";5682.515346;"No";"Basic";"DOCT";"EMP";"F";36938;"URB";"MAR";70;32;31;3;"SPEC";244.801119;"4D";"Medsize"
"CAL";6332.941818;"No";"Extended";"BACH";"EMP";"M";50843;"SUBU";"SING";82;12;65;3;"PERS";393.6;"2D";"Small"
"CAL";4916.577034;"No";"Basic";"BACH";"EMP";"F";21907;"RUR";"MAR";62;6;47;3;"PERS";2.96438;"4D";"Medsize"
"CAL";4798.240889;"No";"Basic";"BACH";"EMP";"F";77846;"URB";"MAR";119;8;45;1;"PERS";342.471939;"SPO";"Medsize"
"WASH";10408.96865;"Yes";"Basic";"HSOB";"RET";"M";20228;"SUBU";"DIV";101;3;43;2;"PERS";523.815839;"SUV";"Medsize"
"AR";9247.464417;"No";"Extended";"HSOB";"EMP";"F";97030;"SUBU";"MAR";76;14;24;2;"CORP";416.637499;"4D";"Small"
"OR";7322.92885;"No";"Basic";"HSOB";"EMP";"M";80864;"URB";"MAR";182;5;30;1;"PERS";618.210272;"LUXS";"Medsize"
"NEV";8275.900104;"No";"Premium";"COLL";"EMP";"F";48197;"SUBU";"SING";106;10;61;6;"PERS";508.8;"4D";"Medsize"
"CAL";5635.403677;"No";"Basic";"DOCT";"EMP";"M";70837;"SUBU";"MAR";73;7;19;3;"PERS";362.743231;"4D";"Small"
"AR";14970.28509;"No";"Extended";"HSOB";"EMP";"M";85297;"SUBU";"MAR";93;7;91;2;"SPEC";620.011594;"2D";"Small"
"OR";9336.336922;"No";"Premium";"MAST";"EMP";"F";70177;"RUR";"MAR";115;12;34;8;"PERS";225.517666;"4D";"Medsize"
"NEV";48356.96084;"No";"Extended";"COLL";"EMP";"M";52499;"SUBU";"DIV";138;0;61;2;"PERS";1171.537594;"SUV";"Medsize"
"OR";5686.915259;"No";"Basic";"COLL";"EMP";"M";63143;"SUBU";"MAR";71;31;85;3;"CORP";340.8;"4D";"Medsize"
"OR";8622.835375;"Yes";"Basic";"BACH";"EMP";"M";97361;"SUBU";"SING";73;6;85;2;"PERS";350.4;"4D";"Medsize"
"NEV";5079.674786;"No";"Extended";"HSOB";"EMP";"M";50052;"SUBU";"SING";130;6;50;1;"PERS";624;"SPO";"Small"
"AR";5623.314472;"No";"Basic";"BACH";"DIS";"F";11612;"SUBU";"MAR";71;20;92;5;"PERS";340.8;"4D";"Medsize"
"AR";5270.013569;"No";"Basic";"HSOB";"EMP";"F";78115;"URB";"MAR";65;1;12;4;"PERS";255.454322;"4D";"Small"
"CAL";8621.172176;"No";"Basic";"MAST";"EMP";"F";81947;"URB";"MAR";71;12;78;2;"PERS";203.993499;"2D";"Medsize"
"OR";7918.334928;"No";"Extended";"COLL";"EMP";"M";44698;"SUBU";"MAR";211;0;88;1;"PERS";1012.8;"LUX";"Medsize"
"CAL";21034.01815;"No";"Basic";"HSOB";"EMP";"F";26876;"URB";"MAR";66;12;53;2;"PERS";219.209762;"4D";"Medsize"
"OR";15417.6822;"No";"Basic";"COLL";"EMP";"F";69841;"URB";"MAR";192;0;66;7;"PERS";878.812468;"LUXS";"Medsize"
"OR";8692.636838;"No";"Basic";"HSOB";"EMP";"F";97768;"RUR";"DIV";72;22;14;2;"PERS";151.843731;"2D";"Medsize"
"OR";6503.143913;"No";"Basic";"HSOB";"UNEMP";"M";0;"SUBU";"SING";187;6;12;1;"PERS";1588.682955;"LUX";"Medsize"
"WASH";31642.10463;"No";"Extended";"COLL";"EMP";"M";89057;"RUR";"MAR";98;17;90;2;"CORP";187.363583;"2D";"Medsize"
"OR";5914.951808;"No";"Basic";"BACH";"EMP";"F";50217;"SUBU";"MAR";74;18;2;9;"PERS";355.2;"2D";"Medsize"
"WASH";4645.839058;"No";"Basic";"COLL";"UNEMP";"M";0;"SUBU";"SING";71;3;33;3;"PERS";697.186307;"2D";"Large"
"NEV";6826.797741;"No";"Basic";"COLL";"UNEMP";"M";0;"SUBU";"SING";68;13;26;2;"PERS";489.6;"2D";"Small"
"OR";3982.180708;"No";"Extended";"DOCT";"EMP";"F";38500;"URB";"MAR";99;26;49;1;"CORP";423.286512;"4D";"Large"
"NEV";2887.779742;"No";"Basic";"HSOB";"EMP";"F";62018;"URB";"MAR";71;21;0;1;"PERS";293.865315;"2D";"Medsize"
"OR";2252.416825;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"SING";65;13;84;1;"PERS";468;"2D";"Medsize"
"CAL";8458.531323;"No";"Premium";"MAST";"EMP";"M";57394;"URB";"MAR";106;8;11;3;"PERS";316.492058;"4D";"Medsize"
"CAL";7478.313695;"No";"Basic";"BACH";"EMP";"M";23530;"SUBU";"DIV";65;22;34;2;"CORP";312;"2D";"Medsize"
"CAL";3788.649817;"No";"Extended";"HSOB";"EMP";"F";48887;"SUBU";"DIV";95;26;25;1;"PERS";456;"4D";"Medsize"
"OR";5220.685297;"No";"Extended";"MAST";"EMP";"F";68867;"SUBU";"MAR";129;19;91;1;"PERS";619.2;"SUV";"Medsize"
"CAL";7130.294828;"No";"Basic";"COLL";"DIS";"F";12062;"SUBU";"SING";63;3;42;2;"CORP";302.4;"4D";"Medsize"
"AR";8513.592687;"No";"Basic";"COLL";"EMP";"M";59230;"RUR";"MAR";107;11;56;5;"PERS";245.076091;"SUV";"Medsize"
"AR";5660.133806;"No";"Basic";"BACH";"EMP";"F";59586;"RUR";"DIV";72;6;70;3;"PERS";91.198362;"4D";"Medsize"
"WASH";4082.170583;"No";"Basic";"HSOB";"EMP";"M";57506;"SUBU";"MAR";102;24;43;1;"PERS";615.243841;"SPO";"Small"
"AR";5318.89664;"Yes";"Basic";"BACH";"EMP";"F";25134;"SUBU";"MAR";67;3;0;6;"PERS";321.6;"4D";"Small"
"OR";4160.162571;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"SING";61;3;58;5;"PERS";292.8;"4D";"Large"
"OR";2237.347771;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"MAR";61;19;44;1;"PERS";292.8;"4D";"Small"
"CAL";3460.12299;"No";"Basic";"COLL";"UNEMP";"M";0;"SUBU";"MAR";100;15;96;1;"PERS";720;"SUV";"Medsize"
"CAL";16005.50507;"No";"Basic";"BACH";"EMP";"M";44901;"SUBU";"MAR";70;15;56;2;"PERS";460.806124;"4D";"Small"
"AR";6986.603722;"No";"Extended";"BACH";"UNEMP";"F";0;"RUR";"MAR";93;21;8;3;"PERS";149.269407;"4D";"Medsize"
"OR";8826.961501;"No";"Basic";"BACH";"EMP";"F";28463;"URB";"MAR";113;0;45;7;"PERS";324.317667;"SUV";"Medsize"
"NEV";4726.869327;"Yes";"Extended";"BACH";"ML";"F";13037;"SUBU";"MAR";124;28;49;1;"PERS";839.348464;"SUV";"Small"
"CAL";27443.47482;"No";"Extended";"HSOB";"EMP";"M";82320;"SUBU";"MAR";99;4;2;2;"PERS";475.2;"4D";"Medsize"
"CAL";7247.313475;"No";"Basic";"BACH";"UNEMP";"F";0;"SUBU";"SING";104;9;58;7;"PERS";499.2;"SUV";"Medsize"
"OR";5137.852105;"No";"Basic";"COLL";"EMP";"F";78460;"URB";"MAR";64;3;93;4;"PERS";203.568733;"4D";"Medsize"
"NEV";2739.05724;"No";"Extended";"COLL";"UNEMP";"M";0;"SUBU";"MAR";92;26;11;1;"PERS";657.290491;"2D";"Medsize"
"CAL";5092.793862;"No";"Basic";"COLL";"EMP";"M";46922;"SUBU";"MAR";64;34;12;3;"CORP";403.385123;"2D";"Medsize"
"CAL";5799.826802;"No";"Basic";"COLL";"EMP";"M";60689;"RUR";"SING";74;29;67;7;"CORP";5.746657;"4D";"Medsize"
"NEV";5507.063242;"No";"Basic";"MAST";"UNEMP";"F";0;"SUBU";"MAR";71;3;38;3;"PERS";340.8;"4D";"Medsize"
"OR";10484.91535;"Yes";"Extended";"COLL";"EMP";"F";61108;"RUR";"DIV";89;22;93;2;"PERS";49.451117;"4D";"Medsize"
"AR";8501.279969;"No";"Basic";"BACH";"EMP";"M";98003;"URB";"DIV";107;4;46;7;"PERS";449.408637;"SUV";"Small"
"WASH";8426.057283;"No";"Basic";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";74;30;37;2;"PERS";460.084192;"4D";"Medsize"
"AR";6503.397049;"Yes";"Extended";"HSOB";"DIS";"F";22081;"SUBU";"MAR";84;1;9;6;"PERS";451.670309;"2D";"Small"
"NEV";46805.22306;"No";"Extended";"HSOB";"EMP";"M";83006;"URB";"MAR";235;8;61;2;"PERS";1065.049894;"LUXS";"Small"
"AR";4834.710493;"Yes";"Basic";"COLL";"EMP";"F";38713;"SUBU";"DIV";66;31;69;6;"CORP";316.8;"4D";"Medsize"
"OR";2575.3237;"No";"Basic";"COLL";"ML";"F";28700;"SUBU";"MAR";68;2;65;1;"PERS";326.4;"4D";"Medsize"
"CAL";37111.65952;"No";"Basic";"MAST";"EMP";"F";61552;"RUR";"MAR";115;1;95;2;"PERS";12.252847;"SUV";"Medsize"
"NEV";4371.190437;"No";"Basic";"COLL";"EMP";"M";56718;"SUBU";"DIV";113;7;95;1;"PERS";542.4;"SUV";"Medsize"
"OR";16796.33604;"No";"Basic";"DOCT";"EMP";"M";66776;"RUR";"SING";71;11;45;2;"CORP";131.808343;"4D";"Small"
"CAL";7988.506358;"No";"Basic";"HSOB";"EMP";"M";58268;"URB";"MAR";67;12;82;2;"CORP";228.641342;"2D";"Medsize"
"CAL";2269.841123;"No";"Basic";"COLL";"UNEMP";"M";0;"SUBU";"SING";68;22;43;1;"PERS";542.016902;"4D";"Medsize"
"CAL";4991.47197;"No";"Basic";"DOCT";"ML";"M";12608;"URB";"MAR";66;23;72;3;"PERS";214.866605;"4D";"Medsize"
"CAL";2921.930882;"No";"Basic";"MAST";"EMP";"M";63499;"URB";"MAR";73;21;79;1;"PERS";278.964095;"4D";"Medsize"
"OR";7613.193095;"No";"Extended";"HSOB";"EMP";"M";36247;"URB";"MAR";96;35;29;7;"CORP";329.522858;"4D";"Medsize"
"CAL";5827.409742;"No";"Basic";"MAST";"EMP";"F";30228;"RUR";"MAR";73;28;44;5;"PERS";163.345647;"4D";"Medsize"
"OR";2600.641181;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"SING";74;19;4;1;"PERS";501.472124;"2D";"Medsize"
"CAL";8491.465719;"No";"Premium";"HSOB";"UNEMP";"F";0;"SUBU";"SING";116;3;97;3;"PERS";1193.115879;"4D";"Large"
"AR";9778.733613;"No";"Extended";"BACH";"EMP";"F";99364;"SUBU";"MAR";121;3;37;5;"PERS";580.8;"SPO";"Small"
"CAL";22658.53652;"Yes";"Basic";"BACH";"RET";"M";23665;"SUBU";"MAR";67;19;50;2;"PERS";404.817249;"4D";"Medsize"
"AR";10004.02761;"No";"Extended";"COLL";"UNEMP";"F";0;"SUBU";"SING";94;7;4;2;"CORP";807.168846;"4D";"Large"
"OR";4872.774396;"No";"Basic";"HSOB";"EMP";"M";69247;"URB";"MAR";61;12;64;3;"CORP";226.522147;"2D";"Medsize"
"AR";7444.814633;"No";"Extended";"COLL";"EMP";"F";56047;"RUR";"MAR";92;26;29;5;"CORP";82.733588;"4D";"Large"
