"ST";"CLV";"Resp.";"COV";"EDUC";"EMPS";"GEN";"INC";"LOCC";"MARS";"MPA";"MSLC";"MSPI";"NOP";"PT";"TCA";"VC";"VS";"Cluster"
"CAL";3230.576665;"Yes";"Extended";"COLL";"EMP";"M";62873;"URB";"DIV";81;0;41;1;"PERS";207.75186;"4D";"M";1
"NEV";5158.648497;"No";"Basic";"HSOB";"UNEMP";"F";0;"SUBU";"SING";74;24;98;5;"PERS";588.936956;"2D";"M";3
"CAL";2776.582901;"No";"Basic";"COLL";"EMP";"F";50985;"URB";"DIV";71;7;31;1;"PERS";307.68931;"2D";"M";1
"AR";12836.00951;"No";"Premium";"HSOB";"UNEMP";"M";0;"SUBU";"MAR";116;6;28;2;"PERS";835.2;"2D";"M";1
"AR";28421.57022;"No";"Extended";"BACH";"EMP";"M";42803;"URB";"DIV";245;21;56;2;"PERS";889.288242;"LUX";"S";3
"OR";2276.392936;"No";"Basic";"COLL";"UNEMP";"M";0;"SUBU";"SING";69;34;13;1;"PERS";624.980751;"2D";"S";1
"AR";3895.961837;"No";"Extended";"HSOB";"EMP";"M";35970;"SUBU";"DIV";98;29;81;1;"CORP";470.4;"4D";"L";3
"AR";4247.683347;"No";"Basic";"BACH";"EMP";"M";44537;"URB";"MAR";106;13;42;1;"CORP";441.907057;"SPO";"S";3
"AR";6005.847375;"Yes";"Extended";"COLL";"RET";"M";13528;"SUBU";"SING";86;21;35;3;"PERS";412.8;"4D";"M";1
"AR";2719.506996;"Yes";"Basic";"COLL";"RET";"F";14030;"SUBU";"MAR";72;11;3;1;"PERS";345.6;"2D";"L";1
"AR";4185.757242;"No";"Basic";"COLL";"UNEMP";"M";0;"SUBU";"SING";64;0;56;3;"CORP";492.644465;"4D";"S";1
"NEV";33473.34946;"Yes";"Basic";"BACH";"EMP";"F";33190;"SUBU";"DIV";106;18;95;2;"PERS";508.8;"SUV";"M";3
"NEV";7331.508054;"No";"Basic";"COLL";"UNEMP";"M";0;"RUR";"MAR";100;15.1785246617198;25;4;"PERS";61.580247;"SPO";"S";1
"AR";9320.284812;"No";"Premium";"BACH";"EMP";"F";21033;"SUBU";"MAR";118;5;22;8;"PERS";738.975495;"2D";"S";2
"WASH";3312.323945;"No";"Extended";"COLL";"EMP";"M";26285;"SUBU";"MAR";84;7;1;1;"CORP";403.2;"4D";"M";1
"CAL";5560.278162;"No";"Basic";"BACH";"UNEMP";"F";0;"RUR";"MAR";74;29;52;8;"CORP";65.953005;"4D";"M";2
"WASH";8214.602384;"No";"Basic";"COLL";"EMP";"F";73245;"URB";"MAR";68;33;48;2;"PERS";305.121363;"4D";"M";1
"CAL";8647.139152;"No";"Basic";"BACH";"UNEMP";"M";0;"RUR";"MAR";119;5;31;3;"PERS";244.816163;"SUV";"S";1
"CAL";4446.738622;"No";"Basic";"HSOB";"UNEMP";"M";0;"SUBU";"SING";61;32;42;3;"PERS";616.279356;"4D";"M";1
"OR";7769.841954;"No";"Basic";"BACH";"EMP";"M";74365;"SUBU";"DIV";193;11;85;1;"CORP";926.4;"LUX";"S";3
"OR";3911.118202;"No";"Extended";"DOCT";"EMP";"M";30821;"URB";"MAR";97;27;59;1;"PERS";451.319227;"4D";"M";1
"AR";2731.520409;"No";"Basic";"HSOB";"EMP";"F";69844;"URB";"MAR";68;5;9;1;"CORP";184.379697;"4D";"M";1
"OR";8401.788653;"No";"Extended";"BACH";"UNEMP";"M";0;"SUBU";"SING";124;15;86;8;"PERS";595.2;"SUV";"M";2
"OR";5875.038074;"No";"Basic";"MAST";"EMP";"M";55836;"URB";"MAR";73;8;87;7;"PERS";314.936185;"4D";"M";2
"OR";6188.379423;"No";"Extended";"HSOB";"EMP";"M";40352;"SUBU";"MAR";77;31;33;3;"CORP";406.367233;"4D";"S";1
"AR";4506.577736;"No";"Basic";"BACH";"DIS";"F";14985;"SUBU";"MAR";116;12;45;1;"PERS";571.319514;"SPO";"M";3
"AR";10548.53703;"No";"Extended";"DOCT";"EMP";"F";27458;"SUBU";"MAR";131;18;62;3;"PERS";730.373515;"SPO";"M";3
"OR";35203.57475;"No";"Premium";"BACH";"EMP";"F";56343;"SUBU";"DIV";295;11;69;2;"PERS";1612.962321;"LUX";"M";3
"CAL";8193.750001;"No";"Basic";"COLL";"ML";"F";12780;"RUR";"MAR";111;17;53;6;"PERS";225.437098;"SPO";"M";2
"CAL";5313.436344;"No";"Extended";"BACH";"EMP";"F";68558;"RUR";"MAR";131;16;11;1;"PERS";280.903779;"SUV";"M";1
"CAL";4379.770178;"No";"Premium";"COLL";"EMP";"F";47747;"RUR";"DIV";111;31;76;1;"PERS";165.588524;"2D";"M";3
"OR";20885.55547;"No";"Extended";"BACH";"ML";"M";16113;"SUBU";"MAR";81;27;19;2;"CORP";494.890996;"4D";"S";1
"OR";2771.963072;"No";"Extended";"BACH";"UNEMP";"M";0;"SUBU";"SING";79;6;55;1;"PERS";379.2;"4D";"M";3
"CAL";5461.548993;"No";"Basic";"HSOB";"EMP";"F";39626;"SUBU";"MAR";69;15.1001236093943;0;3;"PERS";485.705851;"4D";"L";1
"CAL";2570.235172;"No";"Basic";"HSOB";"EMP";"F";49304;"SUBU";"SING";65;28;48;1;"CORP";312;"4D";"M";1
"OR";2227.072755;"Yes";"Basic";"HSOB";"RET";"M";27972;"SUBU";"MAR";61;7;38;1;"PERS";292.8;"4D";"M";1
"CAL";5394.000979;"No";"Basic";"COLL";"EMP";"F";27568;"URB";"MAR";68;0;62;3;"PERS";278.689331;"2D";"M";1
"WASH";2300.691547;"Yes";"Basic";"BACH";"RET";"M";25905;"SUBU";"DIV";63;21;12;1;"PERS";302.4;"4D";"L";1
"WASH";25360.10404;"No";"Basic";"BACH";"EMP";"M";21442;"SUBU";"MAR";108;16;83;2;"CORP";518.4;"SUV";"M";3
"NEV";4374.038985;"No";"Premium";"HSOB";"EMP";"F";34516;"RUR";"MAR";113;12;70;1;"SPEC";42.950852;"4D";"M";3
"NEV";4953.358432;"No";"Basic";"HSOB";"UNEMP";"M";0;"SUBU";"MAR";68;11;90;4;"PERS";342.468248;"4D";"S";3
"OR";4590.811214;"No";"Premium";"COLL";"EMP";"F";28354;"URB";"DIV";118;33;20;1;"PERS";320.327775;"2D";"L";1
"AR";5062.37379;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"SING";72;22;58;5;"PERS";345.6;"2D";"L";1
"CAL";9075.768214;"Yes";"Basic";"MAST";"EMP";"M";37722;"RUR";"SING";116;8;23;8;"PERS";158.077504;"SPO";"M";2
"AR";8133.157212;"No";"Basic";"BACH";"EMP";"F";32021;"SUBU";"SING";70;12;58;2;"PERS";336;"4D";"S";3
"OR";2869.301319;"No";"Basic";"BACH";"ML";"F";13393;"RUR";"MAR";73;31;11;1;"PERS";34.708194;"4D";"M";1
"OR";27937.75093;"No";"Basic";"COLL";"RET";"M";13624;"SUBU";"DIV";117;4;11;2;"PERS";561.6;"SPO";"M";1
"NEV";2606.186321;"No";"Basic";"COLL";"EMP";"F";27800;"SUBU";"SING";67;9;78;1;"PERS";321.6;"2D";"M";3
"CAL";7764.273102;"No";"Basic";"COLL";"EMP";"F";58419;"RUR";"MAR";191;29;6;1;"PERS";202.468807;"LUX";"M";1
"NEV";18380.39026;"No";"Extended";"HSOB";"EMP";"M";50407;"URB";"MAR";92;30;67;2;"PERS";352.060768;"4D";"M";3
"AR";6102.953572;"No";"Extended";"BACH";"UNEMP";"F";0;"SUBU";"SING";84;0;76;4;"PERS";856.347474;"4D";"L";1
"WASH";9191.672825;"No";"Basic";"HSOB";"EMP";"M";77603;"SUBU";"MAR";114;10;83;8;"PERS";547.2;"SUV";"M";2
"CAL";9581.281433;"No";"Premium";"COLL";"EMP";"F";75606;"SUBU";"MAR";119;6;97;7;"PERS";571.2;"4D";"M";2
"AR";7532.262392;"No";"Extended";"BACH";"EMP";"M";41458;"RUR";"SING";98;6;67;3;"PERS";191.100227;"4D";"M";3
"OR";2795.321353;"No";"Basic";"COLL";"UNEMP";"M";0;"SUBU";"MAR";74;6;61;1;"PERS";420.765993;"2D";"M";3
"WASH";5673.840992;"No";"Extended";"HSOB";"UNEMP";"M";0;"SUBU";"DIV";82;13;87;7;"PERS";445.001296;"2D";"M";2
"AR";15016.18511;"No";"Basic";"BACH";"EMP";"F";70619;"RUR";"MAR";187;2;84;3;"PERS";293.948632;"LUX";"M";3
"CAL";3087.249746;"No";"Extended";"DOCT";"EMP";"M";41273;"URB";"MAR";77;16;19;1;"PERS";221.226696;"4D";"M";1
"AR";5480.701059;"No";"Basic";"COLL";"EMP";"F";46946;"SUBU";"DIV";70;10;37;9;"PERS";336;"4D";"M";2
"OR";7944.973807;"No";"Premium";"COLL";"UNEMP";"M";0;"SUBU";"SING";113;10;97;9;"CORP";542.4;"4D";"M";2
"OR";8543.247323;"No";"Basic";"BACH";"EMP";"M";99180;"RUR";"MAR";106;15;20;3;"PERS";33.751887;"SUV";"S";1
"CAL";5380.898636;"Yes";"Basic";"COLL";"EMP";"F";55350;"SUBU";"MAR";67;0;13;9;"PERS";321.6;"4D";"M";2
"CAL";4650.063763;"Yes";"Basic";"COLL";"RET";"M";28215;"SUBU";"SING";65;15;26;3;"PERS";468;"2D";"M";1
"NEV";36946.06393;"No";"Basic";"COLL";"EMP";"F";75425;"SUBU";"DIV";116;25;88;2;"PERS";663.643801;"SPO";"M";3
"NEV";3314.55133;"No";"Extended";"HSOB";"EMP";"F";63583;"RUR";"MAR";83;15;8;1;"SPEC";167.39959;"4D";"M";1
"CAL";4566.377261;"No";"Basic";"BACH";"UNEMP";"M";0;"SUBU";"SING";66;27;28;3;"PERS";475.2;"4D";"S";1
"NEV";5597.12496;"Yes";"Extended";"HSOB";"EMP";"F";37995;"SUBU";"MAR";139;16;50;1;"PERS";667.2;"SUV";"M";3
"NEV";2540.551456;"No";"Basic";"MAST";"EMP";"F";37125;"URB";"MAR";63;29;78;1;"PERS";290.911693;"4D";"L";3
"CAL";2939.330187;"No";"Basic";"COLL";"EMP";"M";53357;"RUR";"MAR";73;4;77;1;"PERS";55.320014;"4D";"M";3
"CAL";16068.34838;"No";"Basic";"BACH";"EMP";"F";70140;"SUBU";"MAR";199;25;15;7;"CORP";955.2;"LUX";"M";3
"OR";7360.873696;"No";"Basic";"COLL";"EMP";"M";52380;"SUBU";"MAR";186;27;76;1;"PERS";892.8;"LUXS";"S";3
"CAL";2700.985899;"No";"Basic";"HSOB";"EMP";"M";79292;"RUR";"MAR";67;18;58;1;"CORP";55.394702;"4D";"M";3
"OR";3095.705571;"No";"Extended";"COLL";"UNEMP";"F";0;"SUBU";"SING";92;31;24;1;"PERS";774.892461;"2D";"S";1
"NEV";4383.751482;"No";"Extended";"COLL";"UNEMP";"F";0;"SUBU";"SING";123;14;97;1;"PERS";1480.336748;"SUV";"M";3
"OR";9928.874825;"No";"Extended";"HSOB";"EMP";"F";75425;"SUBU";"MAR";123;3;49;6;"PERS";823.798803;"SPO";"L";2
"AR";2399.17815;"No";"Basic";"BACH";"DIS";"M";20992;"SUBU";"MAR";64;21;73;1;"PERS";307.2;"2D";"M";3
"WASH";3402.777293;"No";"Extended";"BACH";"EMP";"M";57428;"SUBU";"MAR";85;34;40;1;"CORP";414.649796;"4D";"M";1
"CAL";8711.302422;"No";"Basic";"COLL";"EMP";"M";92606;"URB";"MAR";109;26;75;3;"SPEC";287.437831;"SUV";"M";3
"CAL";4358.762008;"No";"Basic";"HSOB";"EMP";"M";86001;"SUBU";"DIV";109;4;27;1;"PERS";523.2;"SUV";"M";1
"AR";2551.226692;"Yes";"Basic";"MAST";"EMP";"M";79751;"SUBU";"MAR";63;15;67;1;"PERS";392.235698;"2D";"S";3
"AR";5642.747998;"No";"Basic";"BACH";"EMP";"F";68654;"URB";"MAR";71;32;21;9;"PERS";208.048487;"4D";"M";2
"AR";4151.667368;"No";"Basic";"MAST";"UNEMP";"F";0;"URB";"SING";61;7;71;9;"PERS";208.892861;"2D";"M";2
"OR";2842.025913;"No";"Basic";"DOCT";"EMP";"F";92629;"RUR";"SING";72;22;1;1;"PERS";60.845685;"4D";"M";1
"CAL";8791.444942;"No";"Basic";"HSOB";"EMP";"F";54094;"URB";"SING";112;9;51;4;"CORP";502.994931;"SUV";"M";1
"NEV";8268.272933;"No";"Basic";"COLL";"EMP";"M";95419;"SUBU";"MAR";70;6;61;2;"PERS";336;"4D";"M";1
"OR";8581.637267;"No";"Basic";"HSOB";"EMP";"F";66466;"URB";"MAR";71;20;35;2;"PERS";293.016168;"4D";"M";3
"AR";5244.40475;"No";"Extended";"HSOB";"EMP";"M";68131;"RUR";"MAR";130;15.1785246617198;27;1;"PERS";226.607648;"SUV";"M";1
"NEV";8509.019846;"No";"Basic";"BACH";"EMP";"F";56481;"URB";"MAR";106;7;17;3;"PERS";273.250112;"SUV";"M";1
"CAL";4743.615503;"No";"Basic";"COLL";"EMP";"M";70082;"SUBU";"MAR";119;17;23;1;"PERS";571.2;"SUV";"S";1
"NEV";22754.66137;"No";"Basic";"BACH";"EMP";"M";51437;"RUR";"MAR";115;35;30;2;"CORP";244.086665;"SUV";"M";1
"NEV";5335.015944;"No";"Basic";"HSOB";"UNEMP";"M";0;"SUBU";"SING";73;6;97;9;"PERS";525.6;"4D";"M";2
"OR";6966.319103;"No";"Extended";"COLL";"DIS";"M";27972;"URB";"MAR";90;13;7;8;"CORP";240.318607;"2D";"M";2
"AR";21205.37785;"No";"Extended";"HSOB";"EMP";"F";24930;"SUBU";"MAR";76;7;16;2;"PERS";364.8;"4D";"M";1
"NEV";4271.200049;"No";"Premium";"MAST";"EMP";"F";26245;"RUR";"SING";110;6;43;1;"PERS";44.284642;"2D";"M";3
"CAL";5580.818466;"No";"Basic";"BACH";"EMP";"F";57883;"SUBU";"MAR";69;4;0;9;"PERS";431.847824;"4D";"S";2
"NEV";2224.089639;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"SING";64;20;4;1;"CORP";483.25721;"4D";"M";1
"OR";2709.539796;"No";"Basic";"COLL";"EMP";"F";58828;"SUBU";"MAR";68;13;98;1;"PERS";446.751243;"4D";"S";3
"AR";2890.338106;"No";"Basic";"COLL";"EMP";"M";51906;"SUBU";"MAR";73;29;78;1;"CORP";374.864662;"4D";"M";3
"OR";6403.577368;"No";"Extended";"COLL";"EMP";"M";28095;"SUBU";"MAR";82;18;2;8;"PERS";393.6;"4D";"M";2
"CAL";5981.381645;"No";"Basic";"BACH";"EMP";"F";88723;"SUBU";"DIV";74;12;94;8;"PERS";355.2;"2D";"M";2
"CAL";6225.022266;"No";"Extended";"HSOB";"EMP";"F";53078;"URB";"MAR";79;29;81;8;"CORP";200.97608;"4D";"M";2
"CAL";8496.358981;"No";"Basic";"BACH";"EMP";"F";88895;"RUR";"DIV";106;0;87;8;"PERS";209.863509;"SPO";"M";2
"AR";10213.99111;"No";"Extended";"BACH";"EMP";"F";60078;"RUR";"MAR";127;23;60;3;"CORP";140.819942;"SUV";"M";1
"CAL";4547.162694;"No";"Basic";"COLL";"UNEMP";"M";0;"SUBU";"SING";67;26;4;3;"PERS";321.6;"2D";"M";1
"NEV";5741.696078;"No";"Basic";"MAST";"EMP";"F";45820;"URB";"MAR";71;4;89;8;"CORP";249.742856;"4D";"M";2
"AR";2388.353882;"No";"Basic";"BACH";"UNEMP";"M";0;"SUBU";"SING";73;12;84;1;"PERS";677.970934;"4D";"M";3
"CAL";12624.96121;"No";"Premium";"COLL";"ML";"M";12439;"SUBU";"DIV";115;22;78;2;"CORP";552;"2D";"M";3
"CAL";8382.478392;"Yes";"Basic";"BACH";"EMP";"M";25998;"SUBU";"MAR";71;16;38;2;"PERS";791.878042;"4D";"M";1
"AR";4964.666365;"No";"Basic";"COLL";"EMP";"M";98451;"SUBU";"MAR";62;19;57;3;"PERS";316.546868;"4D";"S";3
"CAL";2871.437451;"No";"Basic";"BACH";"EMP";"F";23803;"SUBU";"MAR";72;11;90;1;"CORP";410.548521;"2D";"S";3
"CAL";13080.78528;"No";"Extended";"COLL";"UNEMP";"M";0;"SUBU";"DIV";124;12;58;2;"SPEC";595.2;"SUV";"S";1
"OR";2482.411991;"No";"Basic";"HSOB";"DIS";"F";26100;"SUBU";"SING";67;6;29;1;"PERS";482.4;"4D";"M";1
"NEV";2726.834065;"No";"Basic";"BACH";"UNEMP";"F";0;"SUBU";"SING";73;8;63;1;"PERS";376.923839;"4D";"M";3
"OR";4776.186527;"No";"Basic";"MAST";"UNEMP";"M";0;"URB";"SING";67;10;38;9;"PERS";315.215329;"4D";"M";2
"NEV";6091.89923;"No";"Extended";"BACH";"EMP";"M";65252;"SUBU";"DIV";78;27;75;9;"PERS";482.48791;"4D";"M";2
"CAL";5015.009472;"Yes";"Extended";"BACH";"EMP";"F";48567;"SUBU";"SING";130;12;15;1;"PERS";624;"SUV";"M";1
"OR";9035.671134;"Yes";"Premium";"HSOB";"EMP";"F";34337;"SUBU";"MAR";113;20;44;9;"PERS";542.4;"4D";"L";2
"NEV";4381.880534;"No";"Premium";"COLL";"ML";"F";20394;"URB";"MAR";115;28;84;1;"PERS";508.614758;"2D";"M";3
"WASH";5775.517825;"No";"Extended";"HSOB";"UNEMP";"F";0;"SUBU";"SING";76;20;17;6;"PERS";784.611446;"2D";"S";2
"AR";4250.282624;"Yes";"Basic";"HSOB";"UNEMP";"F";0;"SUBU";"SING";61;17;1;7;"PERS";292.8;"4D";"S";2
"CAL";2347.048112;"No";"Basic";"COLL";"EMP";"M";31617;"URB";"SING";62;17;29;1;"PERS";244.269407;"4D";"S";1
"CAL";6940.069184;"No";"Basic";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";62;31;30;2;"CORP";297.6;"4D";"M";1
"WASH";2572.506605;"No";"Basic";"MAST";"EMP";"M";21104;"RUR";"DIV";66;34;74;1;"PERS";118.454974;"4D";"M";3
"AR";41491.74481;"No";"Basic";"COLL";"EMP";"M";37748;"SUBU";"MAR";181;21;22;2;"PERS";868.8;"LUX";"S";3
"CAL";3571.346578;"No";"Extended";"BACH";"UNEMP";"F";0;"URB";"MAR";96;19;30;1;"PERS";438.661509;"4D";"M";1
"OR";12734.21253;"No";"Extended";"BACH";"EMP";"M";25023;"SUBU";"SING";82;31;38;2;"CORP";397.139856;"2D";"M";3
"OR";4529.112791;"No";"Basic";"COLL";"UNEMP";"F";0;"URB";"MAR";62;22;57;9;"SPEC";271.164139;"4D";"M";2
"OR";4177.876779;"No";"Premium";"BACH";"ML";"F";14108;"SUBU";"MAR";109;15.1785246617198;88;1;"PERS";523.2;"4D";"S";3
"WASH";9824.745841;"No";"Extended";"HSOB";"EMP";"F";23923;"SUBU";"MAR";82;29;61;2;"PERS";393.6;"4D";"M";3
"OR";2430.801647;"No";"Basic";"HSOB";"UNEMP";"M";0;"SUBU";"MAR";67;1;19;1;"SPEC";321.6;"4D";"M";1
"WASH";19160.98994;"Yes";"Extended";"MAST";"EMP";"F";22705;"SUBU";"DIV";239;19;59;7;"PERS";1294.700423;"LUXS";"M";3
"CAL";3301.518961;"No";"Extended";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";89;10;83;1;"CORP";427.2;"2D";"L";3
"OR";4692.098956;"No";"Basic";"COLL";"UNEMP";"M";0;"SUBU";"SING";69;31;89;5;"PERS";506.92275;"4D";"L";3
"AR";8092.87696;"Yes";"Basic";"COLL";"EMP";"M";50825;"URB";"MAR";102;3;46;3;"PERS";369.614729;"SUV";"M";1
"AR";3964.534974;"No";"Basic";"COLL";"ML";"M";14616;"SUBU";"MAR";106;16;23;1;"PERS";575.260213;"SUV";"S";1
"OR";2497.531509;"No";"Basic";"HSOB";"UNEMP";"M";0;"URB";"MAR";69;5;74;1;"CORP";272.381465;"2D";"M";3
"AR";9656.212573;"No";"Extended";"COLL";"EMP";"M";29504;"SUBU";"SING";125;16;29;9;"PERS";1224.56345;"SUV";"M";2
"CAL";8888.143979;"No";"Premium";"COLL";"EMP";"M";58789;"RUR";"MAR";111;4;69;3;"CORP";215.438825;"4D";"M";3
"OR";7347.410517;"No";"Basic";"COLL";"EMP";"F";29491;"SUBU";"MAR";61;26;62;2;"PERS";292.8;"4D";"M";3
"AR";8578.364528;"No";"Premium";"HSOB";"EMP";"F";78077;"URB";"MAR";107;11;47;6;"PERS";438.069458;"4D";"M";2
"CAL";3467.323976;"No";"Extended";"HSOB";"UNEMP";"F";0;"SUBU";"SING";96;2;53;1;"PERS";799.251165;"2D";"S";1
"NEV";8901.468512;"No";"Basic";"BACH";"EMP";"M";76558;"URB";"MAR";74;2;45;2;"SPEC";216.980413;"4D";"M";1
"CAL";2619.337376;"Yes";"Basic";"BACH";"EMP";"M";78618;"URB";"DIV";66;7;56;1;"PERS";225.578841;"2D";"M";1
"OR";8838.085637;"Yes";"Basic";"BACH";"EMP";"M";82664;"RUR";"MAR";114;24;10;9;"CORP";133.425609;"SUV";"M";2
"OR";10127.77087;"No";"Extended";"DOCT";"ML";"M";23053;"SUBU";"MAR";132;5;97;8;"PERS";780.941649;"SPO";"M";2
"NEV";4633.452912;"No";"Basic";"BACH";"EMP";"M";50250;"SUBU";"MAR";117;3;93;1;"PERS";561.6;"SUV";"M";3
"OR";7796.000083;"No";"Basic";"HSOB";"EMP";"M";32169;"URB";"MAR";199;0;74;1;"PERS";785.82348;"LUXS";"M";3
"WASH";2993.024583;"No";"Extended";"MAST";"UNEMP";"M";0;"URB";"MAR";80;28;97;1;"CORP";286.115778;"4D";"M";3
"AR";7985.472561;"No";"Basic";"COLL";"EMP";"F";99069;"RUR";"MAR";66;7;28;2;"CORP";77.442722;"4D";"M";1
"OR";3508.569533;"Yes";"Extended";"COLL";"ML";"M";20978;"SUBU";"MAR";98;19;96;1;"PERS";1176.2788;"4D";"S";3
"AR";2722.210707;"Yes";"Basic";"COLL";"ML";"F";17576;"SUBU";"MAR";71;29;70;1;"PERS";398.502948;"4D";"M";3
"NEV";2783.583044;"No";"Basic";"BACH";"EMP";"M";42297;"URB";"MAR";71;29;62;1;"PERS";200.38673;"4D";"M";3
"AR";8649.997286;"No";"Premium";"BACH";"UNEMP";"F";0;"SUBU";"MAR";115;0;3;3;"SPEC";824.597262;"4D";"S";1
"CAL";4652.91278;"No";"Basic";"COLL";"UNEMP";"F";0;"RUR";"MAR";63;21;23;7;"PERS";151.231247;"4D";"M";2
"NEV";8395.806331;"No";"Premium";"DOCT";"UNEMP";"F";0;"RUR";"MAR";110;22;72;9;"PERS";161.092415;"4D";"M";2
"AR";8804.53711;"No";"Basic";"COLL";"EMP";"F";48990;"SUBU";"MAR";74;3;20;2;"PERS";355.2;"4D";"M";1
"OR";7155.337765;"No";"Basic";"COLL";"DIS";"M";16916;"SUBU";"MAR";64;31;31;2;"PERS";377.512951;"4D";"M";1
"OR";3954.344534;"Yes";"Basic";"BACH";"DIS";"M";18375;"SUBU";"MAR";103;8;50;1;"PERS";535.080276;"SPO";"L";3
"OR";15032.9003;"No";"Basic";"COLL";"ML";"M";17150;"SUBU";"MAR";65;28;19;2;"PERS";689.800891;"2D";"M";1
"WASH";8257.666512;"Yes";"Basic";"BACH";"DIS";"F";23815;"SUBU";"MAR";73;4;47;2;"PERS";424.330166;"4D";"M";1
"AR";9256.918609;"No";"Basic";"COLL";"DIS";"F";21947;"SUBU";"MAR";118;30;76;9;"PERS";566.4;"SUV";"L";2
"AR";6507.751779;"No";"Extended";"BACH";"UNEMP";"M";0;"SUBU";"SING";97;4;11;4;"PERS";863.219668;"4D";"M";2
"NEV";2530.705137;"Yes";"Basic";"BACH";"EMP";"F";89451;"RUR";"SING";63;11;2;1;"PERS";61.769564;"4D";"M";1
"WASH";5482.549359;"No";"Basic";"BACH";"EMP";"F";79325;"URB";"MAR";68;4;31;4;"CORP";251.294821;"4D";"M";2
"OR";4050.506193;"No";"Basic";"COLL";"EMP";"M";88454;"URB";"DIV";101;8;89;1;"PERS";308.749796;"SUV";"M";3
"CAL";6326.679236;"No";"Extended";"HSOB";"UNEMP";"F";0;"SUBU";"DIV";87;2;41;3;"PERS";417.6;"4D";"M";1
"CAL";2627.76229;"No";"Basic";"COLL";"ML";"F";20943;"URB";"MAR";69;0;86;1;"PERS";240.00056;"4D";"M";3
"CAL";7814.604545;"No";"Basic";"BACH";"EMP";"M";51972;"SUBU";"MAR";66;19;22;2;"PERS";316.8;"4D";"M";1
"OR";6314.579645;"No";"Extended";"COLL";"EMP";"F";54408;"URB";"MAR";79;29;17;4;"PERS";288.329793;"4D";"M";1
"NEV";6386.278164;"No";"Extended";"BACH";"EMP";"F";23751;"SUBU";"SING";82;4;9;7;"PERS";586.921708;"2D";"M";2
"CAL";2537.969253;"No";"Basic";"BACH";"EMP";"F";37612;"SUBU";"DIV";64;0;32;1;"PERS";307.2;"4D";"S";1
"OR";5335.375586;"No";"Basic";"BACH";"EMP";"F";91603;"SUBU";"SING";69;4;92;3;"PERS";472.67262;"4D";"S";1
"AR";4549.079221;"No";"Basic";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";62;12;53;3;"PERS";639.758314;"2D";"M";1
"OR";4836.21886;"No";"Extended";"HSOB";"DIS";"M";16450;"SUBU";"MAR";128;6;81;1;"CORP";871.484565;"SUV";"M";3
"OR";6478.801192;"No";"Extended";"BACH";"EMP";"M";50864;"RUR";"MAR";83;18;86;4;"CORP";158.362972;"4D";"M";3
"AR";35440.14262;"No";"Basic";"COLL";"EMP";"F";74560;"SUBU";"DIV";110;31;20;2;"PERS";528;"SUV";"M";1
"CAL";2404.380963;"No";"Basic";"HSOB";"EMP";"M";62488;"URB";"MAR";62;35;47;1;"PERS";200.689331;"4D";"M";1
"CAL";9264.565015;"No";"Premium";"BACH";"EMP";"F";55837;"SUBU";"SING";117;16;35;9;"PERS";741.867506;"2D";"M";2
"OR";2433.024631;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"SING";66;12;71;1;"PERS";475.2;"2D";"M";3
"CAL";5367.089817;"No";"Basic";"COLL";"EMP";"F";97742;"RUR";"SING";67;33;57;5;"PERS";67.648392;"4D";"S";2
"OR";2452.360892;"No";"Basic";"BACH";"UNEMP";"F";0;"SUBU";"SING";69;13;75;1;"PERS";496.8;"4D";"M";3
"NEV";8646.504109;"Yes";"Basic";"HSOB";"EMP";"F";64125;"URB";"MAR";108;3;44;3;"PERS";369.818708;"SUV";"L";1
"AR";4340.086445;"No";"Basic";"COLL";"UNEMP";"M";0;"SUBU";"SING";62;22;39;6;"PERS";446.4;"4D";"M";2
"WASH";4930.949334;"No";"Basic";"DOCT";"EMP";"M";70412;"RUR";"MAR";61;27;12;3;"CORP";136.291083;"2D";"M";1
"WASH";5292.632491;"No";"Basic";"BACH";"UNEMP";"F";0;"SUBU";"MAR";70;13;8;3;"PERS";336;"2D";"M";1
"CAL";8986.610653;"No";"Premium";"HSOB";"EMP";"M";66267;"SUBU";"MAR";111;23;95;3;"PERS";1093.708851;"4D";"S";2
"NEV";5619.967791;"No";"Extended";"COLL";"UNEMP";"F";0;"SUBU";"SING";82;14;23;6;"CORP";863.935307;"4D";"M";2
"OR";10340.45566;"No";"Extended";"HSOB";"EMP";"M";40882;"URB";"DIV";89;6;17;2;"CORP";393.637436;"2D";"L";1
"OR";6369.262355;"Yes";"Extended";"HSOB";"EMP";"M";34498;"SUBU";"SING";83;13.9669211195929;72;7;"PERS";398.4;"2D";"S";2
"OR";2767.5949;"No";"Basic";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";74;0;52;1;"PERS";355.2;"4D";"S";1
"CAL";4831.421687;"No";"Basic";"HSOB";"ML";"F";23228;"SUBU";"MAR";64;4;0;6;"CORP";307.2;"4D";"M";2
