"State";"Customer.Lifetime.Value";"Response";"Coverage";"Education";"EmploymentStatus";"Gender";"Income";"Location.Code";"Marital.Status";"Monthly.Premium.Auto";"Months.Since.Last.Claim";"Months.Since.Policy.Inception";"Number.of.Policies";"Policy.Type";"Total.Claim.Amount";"Vehicle.Class";"Vehicle.Size"
"Oregon";5389.499465;"Yes";"Extended";"College";"Employed";"M";66429;"Rural";"Married";136;35;93;1;"Personal Auto";57.712985;"Sports Car";"Medsize"
"Washington";4067.004737;"No";"Basic";"High School or Below";"Employed";"F";28466;"Urban";"Married";102;33;91;1;"Personal Auto";371.802628;"SUV";"Medsize"
"Oregon";4434.941371;"No";"Basic";"Bachelor";"Employed";"F";58082;"Rural";"Married";112;31;66;1;"Personal Auto";103.022126;"SUV";"Medsize"
"Arizona";14010.52742;"No";"Basic";"Bachelor";"Employed";"F";36523;"Rural";"Married";71;28;67;2;"Personal Auto";101.353875;"Four-Door Car";"Medsize"
"Nevada";12350.05824;"No";"Premium";"Bachelor";"Employed";"M";54710;"Urban";"Married";103;13;46;2;"Personal Auto";294.058449;"Two-Door Car";"Medsize"
"California";8161.576876;"No";"Basic";"High School or Below";"Employed";"F";73466;"Rural";"Married";102;2;71;6;"Personal Auto";204.74051;"SUV";"Medsize"
"Oregon";11009.13049;"Yes";"Premium";"Bachelor";"Employed";"F";51643;"Suburban";"Single";283;16;43;1;"Corporate Auto";1358.4;"Luxury Car";"Medsize"
"Arizona";8717.049833;"Yes";"Basic";"College";"Employed";"M";83846;"Suburban";"Married";74;22;94;2;"Personal Auto";355.2;"Four-Door Car";"Large"
"Oregon";5917.466603;"No";"Premium";"High School or Below";"Unemployed";"M";0;"Suburban";"Single";169;31;77;1;"Personal Auto";1207.084251;"SUV";"Medsize"
"California";2503.660407;"No";"Basic";"Bachelor";"Employed";"M";53338;"Rural";"Married";63;24;35;1;"Personal Auto";35.45384;"Four-Door Car";"Medsize"
"Washington";12682.25069;"No";"Extended";"High School or Below";"Employed";"M";75203;"Suburban";"Single";80;0;13;2;"Corporate Auto";384;"Four-Door Car";"Medsize"
"Oregon";4330.38602;"Yes";"Premium";"College";"Employed";"M";60475;"Suburban";"Married";107;9;18;1;"Personal Auto";513.6;"Four-Door Car";"Medsize"
"California";10487.74332;"No";"Extended";"College";"Employed";"M";30658;"Suburban";"Married";89;6;67;2;"Personal Auto";441.757585;"Four-Door Car";"Medsize"
"Arizona";3567.503755;"Yes";"Basic";"Bachelor";"Unemployed";"M";0;"Suburban";"Married";102;28;11;1;"Corporate Auto";660.430456;"SUV";"Medsize"
"Oregon";19896.42226;"No";"Extended";"Bachelor";"Employed";"F";60420;"Urban";"Married";248;8;74;8;"Personal Auto";632.944366;"Luxury SUV";"Medsize"
"Oregon";21423.63723;"Yes";"Basic";"Bachelor";"Unemployed";"M";0;"Suburban";"Married";65;9;31;2;"Personal Auto";312;"Two-Door Car";"Medsize"
"Washington";5581.761298;"No";"Basic";"Master";"Employed";"F";62739;"Urban";"Divorced";70;29;80;3;"Personal Auto";239.328571;"Two-Door Car";"Medsize"
"California";3515.831889;"No";"Extended";"Doctor";"Medical Leave";"F";15144;"Urban";"Married";90;2;71;1;"Personal Auto";372.652536;"Four-Door Car";"Medsize"
"California";12036.62051;"Yes";"Basic";"Bachelor";"Employed";"M";44428;"Suburban";"Single";104;17;61;2;"Personal Auto";499.2;"SUV";"Medsize"
"California";3609.798318;"No";"Extended";"College";"Employed";"M";58297;"Suburban";"Married";97;19;94;1;"Special Auto";647.039443;"Four-Door Car";"Small"
"Oregon";17732.46488;"No";"Basic";"Bachelor";"Employed";"F";42191;"Rural";"Married";74;2;43;2;"Special Auto";68.647736;"Two-Door Car";"Medsize"
"Nevada";8509.850887;"Yes";"Basic";"Master";"Disabled";"M";26057;"Suburban";"Divorced";74;3;63;2;"Personal Auto";523.888845;"Four-Door Car";"Small"
"Arizona";5866.424273;"No";"Basic";"Bachelor";"Employed";"F";26608;"Urban";"Married";73;12;14;6;"Personal Auto";234.234301;"Two-Door Car";"Medsize"
"California";4825.500869;"No";"Basic";"Doctor";"Unemployed";"M";0;"Urban";"Married";63;8;27;9;"Personal Auto";272.843439;"Four-Door Car";"Medsize"
"California";5389.499465;"Yes";"Extended";"College";"Employed";"M";66429;"Rural";"Married";136;35;93;1;"Personal Auto";57.712985;"Sports Car";"Medsize"
"California";7778.005623;"No";"Basic";"Bachelor";"Disabled";"F";25970;"Suburban";"Married";72;18;30;2;"Personal Auto";430.818992;"Four-Door Car";"Small"
"Oregon";26346.08582;"No";"Extended";"High School or Below";"Employed";"M";48268;"Suburban";"Divorced";223;28;26;2;"Personal Auto";1605.6;"Luxury SUV";"Medsize"
"California";14866.45116;"No";"Extended";"High School or Below";"Employed";"F";24279;"Suburban";"Married";126;16;97;2;"Personal Auto";604.8;"Sports Car";"Medsize"
"Arizona";8324.23271;"No";"Extended";"High School or Below";"Unemployed";"M";0;"Suburban";"Single";121;11;92;5;"Corporate Auto";871.2;"Sports Car";"Medsize"
"Oregon";9238.305998;"No";"Extended";"High School or Below";"Unemployed";"F";0;"Suburban";"Single";128;30;26;5;"Personal Auto";921.6;"SUV";"Medsize"
"Nevada";22693.29076;"No";"Basic";"High School or Below";"Employed";"F";71879;"Rural";"Single";64;1;64;2;"Corporate Auto";9.163065;"Two-Door Car";"Medsize"
"Arizona";6236.018595;"No";"Extended";"Doctor";"Employed";"M";57760;"Urban";"Single";78;9;67;3;"Special Auto";223.950089;"Four-Door Car";"Medsize"
"California";5012.184756;"No";"Extended";"College";"Employed";"M";20976;"Suburban";"Married";129;20;86;1;"Personal Auto";735.683769;"Sports Car";"Large"
"Washington";8176.576796;"No";"Basic";"Bachelor";"Employed";"M";67137;"Urban";"Married";111;0;49;6;"Personal Auto";314.880326;"SUV";"Medsize"
"Washington";2582.862313;"No";"Basic";"High School or Below";"Employed";"F";50148;"Suburban";"Married";65;0;45;1;"Corporate Auto";323.485239;"Four-Door Car";"Small"
"California";3118.981095;"No";"Extended";"College";"Employed";"M";23008;"Rural";"Married";79;29;49;1;"Personal Auto";80.663097;"Four-Door Car";"Medsize"
"Washington";2938.07856;"No";"Extended";"College";"Unemployed";"M";0;"Suburban";"Single";82;12;67;1;"Personal Auto";590.4;"Four-Door Car";"Medsize"
"Arizona";6883.686618;"No";"Extended";"High School or Below";"Employed";"F";84869;"Suburban";"Married";85;5;65;4;"Corporate Auto";408;"Four-Door Car";"Medsize"
"Oregon";2215.912948;"No";"Basic";"College";"Unemployed";"M";0;"Suburban";"Single";66;21;67;1;"Corporate Auto";316.8;"Two-Door Car";"Medsize"
"Washington";4297.018104;"No";"Premium";"Bachelor";"Employed";"M";86860;"Suburban";"Married";107;13;29;1;"Personal Auto";513.6;"Four-Door Car";"Small"
"Arizona";21522.94749;"No";"Extended";"High School or Below";"Employed";"F";44695;"Rural";"Married";79;14;51;2;"Personal Auto";81.166323;"Two-Door Car";"Medsize"
"Oregon";2761.691693;"No";"Extended";"High School or Below";"Unemployed";"F";0;"Suburban";"Single";77;35;38;1;"Personal Auto";554.4;"Four-Door Car";"Small"
"Oregon";22563.61838;"No";"Basic";"High School or Below";"Employed";"M";23046;"Rural";"Married";65;18;7;2;"Personal Auto";1.687291;"Two-Door Car";"Large"
"Oregon";5285.918307;"No";"Basic";"High School or Below";"Unemployed";"M";0;"Suburban";"Married";73;1;44;4;"Personal Auto";392.951076;"Two-Door Car";"Small"
"Oregon";35062.64795;"No";"Basic";"High School or Below";"Employed";"F";84811;"Rural";"Single";111;27;38;2;"Personal Auto";278.284943;"SUV";"Small"
"Oregon";5913.199024;"No";"Extended";"Bachelor";"Unemployed";"M";0;"Suburban";"Single";91;13;89;4;"Corporate Auto";436.8;"Four-Door Car";"Medsize"
"California";2593.398672;"No";"Basic";"Master";"Unemployed";"F";0;"Suburban";"Married";69;29;35;1;"Personal Auto";331.2;"Two-Door Car";"Medsize"
"Arizona";12692.67092;"No";"Premium";"High School or Below";"Employed";"M";40117;"Suburban";"Married";108;6;55;2;"Personal Auto";750.082794;"Two-Door Car";"Small"
"Oregon";3309.11965;"No";"Extended";"Bachelor";"Employed";"M";72140;"Suburban";"Divorced";87;22;66;1;"Personal Auto";417.6;"Four-Door Car";"Large"
"Washington";4754.449647;"No";"Extended";"College";"Unemployed";"F";0;"Suburban";"Single";136;5;46;1;"Corporate Auto";652.8;"SUV";"Medsize"
"California";2413.93064;"No";"Basic";"College";"Disabled";"M";12495;"Suburban";"Divorced";65;32;62;1;"Personal Auto";312;"Four-Door Car";"Medsize"
"California";2161.685527;"No";"Basic";"High School or Below";"Unemployed";"M";0;"Suburban";"Single";67;33;75;1;"Corporate Auto";482.4;"Two-Door Car";"Medsize"
"Oregon";5527.988928;"No";"Basic";"Bachelor";"Unemployed";"F";0;"Suburban";"Married";72;4;72;7;"Personal Auto";345.6;"Four-Door Car";"Large"
"Arizona";10629.21789;"No";"Extended";"Doctor";"Employed";"F";36495;"Rural";"Married";133;14;97;3;"Corporate Auto";229.930796;"SUV";"Medsize"
"Nevada";11820.1098;"No";"Extended";"Bachelor";"Employed";"F";86801;"Urban";"Married";98;5;20;2;"Personal Auto";371.108203;"Four-Door Car";"Medsize"
"California";4964.63152;"No";"Basic";"College";"Employed";"M";52679;"Rural";"Married";62;21;3;4;"Personal Auto";117.998498;"Four-Door Car";"Medsize"
"California";9122.92563;"No";"Basic";"Master";"Employed";"M";90804;"Urban";"Married";113;29;67;5;"Personal Auto";434.09776;"Sports Car";"Small"
"Washington";5309.435869;"No";"Basic";"College";"Medical Leave";"F";22404;"Urban";"Married";70;0;62;4;"Personal Auto";211.136067;"Four-Door Car";"Medsize"
"Oregon";3460.66504;"No";"Extended";"College";"Disabled";"F";14262;"Urban";"Married";90;27;9;1;"Personal Auto";290.432527;"Four-Door Car";"Medsize"
"Oregon";2872.980808;"No";"Basic";"Bachelor";"Employed";"M";36844;"Urban";"Married";73;10;11;1;"Personal Auto";283.966321;"Four-Door Car";"Medsize"
"Arizona";9927.877699;"No";"Extended";"College";"Employed";"F";58703;"Rural";"Married";127;32;26;6;"Personal Auto";227.916076;"SUV";"Small"
"Nevada";3482.687007;"No";"Extended";"High School or Below";"Employed";"M";65162;"Rural";"Married";86;11;59;1;"Personal Auto";134.430084;"Four-Door Car";"Medsize"
"Oregon";3991.727249;"No";"Extended";"College";"Employed";"F";54964;"Suburban";"Married";99;13;53;1;"Personal Auto";525.515271;"Four-Door Car";"Medsize"
"Oregon";5510.107444;"No";"Basic";"Bachelor";"Employed";"M";61401;"Rural";"Married";69;8;77;3;"Personal Auto";144.439335;"Four-Door Car";"Medsize"
"Oregon";3600.934326;"Yes";"Basic";"High School or Below";"Retired";"F";25147;"Suburban";"Single";101;7;54;1;"Corporate Auto";694.598288;"SUV";"Medsize"
"Oregon";5419.45812;"No";"Basic";"Master";"Employed";"F";73536;"Urban";"Married";67;29;27;6;"Personal Auto";172.518524;"Two-Door Car";"Medsize"
"Oregon";5810.630529;"No";"Basic";"High School or Below";"Employed";"F";24860;"Suburban";"Married";73;2;35;8;"Personal Auto";350.4;"Four-Door Car";"Large"
"California";3942.725768;"No";"Extended";"Bachelor";"Employed";"M";65404;"Urban";"Married";99;16;79;1;"Personal Auto";300.703109;"Four-Door Car";"Large"
"Oregon";3126.271893;"No";"Extended";"High School or Below";"Employed";"M";34510;"Suburban";"Divorced";81;0;54;1;"Personal Auto";388.8;"Four-Door Car";"Small"
"California";3530.007745;"No";"Premium";"Bachelor";"Unemployed";"M";0;"Suburban";"Single";108;7;55;1;"Corporate Auto";777.6;"Two-Door Car";"Medsize"
"Washington";5029.296953;"No";"Basic";"Bachelor";"Employed";"M";40113;"Urban";"Divorced";67;2;43;5;"Corporate Auto";262.047663;"Two-Door Car";"Medsize"
"Arizona";4772.943848;"Yes";"Extended";"High School or Below";"Retired";"M";20993;"Suburban";"Divorced";133;35;90;1;"Personal Auto";638.4;"SUV";"Medsize"
"Oregon";2202.3352;"No";"Basic";"Bachelor";"Unemployed";"F";0;"Suburban";"Married";61;2;34;1;"Personal Auto";292.8;"Two-Door Car";"Medsize"
"Washington";8717.049833;"Yes";"Basic";"College";"Employed";"M";83846;"Suburban";"Married";74;22;94;2;"Personal Auto";355.2;"Four-Door Car";"Large"
"Arizona";10373.88882;"No";"Extended";"College";"Employed";"F";62587;"Suburban";"Married";86;30;47;2;"Personal Auto";412.8;"Four-Door Car";"Medsize"
"Washington";7250.029606;"No";"Basic";"Bachelor";"Unemployed";"M";0;"Suburban";"Single";69;17;10;2;"Personal Auto";496.8;"Two-Door Car";"Medsize"
"California";4307.422775;"No";"Basic";"High School or Below";"Employed";"M";73345;"Suburban";"Married";107;7;62;1;"Personal Auto";513.6;"SUV";"Medsize"
"Oregon";3040.253837;"No";"Extended";"High School or Below";"Unemployed";"F";0;"Suburban";"Single";83;30;44;1;"Personal Auto";989.105367;"Four-Door Car";"Small"
"California";19160.98994;"Yes";"Extended";"Master";"Employed";"F";22705;"Suburban";"Divorced";239;19;59;7;"Personal Auto";1294.700423;"Luxury SUV";"Medsize"
"Washington";5391.078171;"No";"Extended";"College";"Employed";"M";21440;"Suburban";"Married";135;7;19;1;"Personal Auto";972;"SUV";"Medsize"
"Oregon";5285.307579;"No";"Basic";"Bachelor";"Employed";"F";22627;"Suburban";"Married";67;19;43;8;"Personal Auto";321.6;"Four-Door Car";"Medsize"
"California";8024.992989;"No";"Basic";"Master";"Employed";"F";38702;"Rural";"Married";101;7;32;3;"Personal Auto";253.364333;"SUV";"Large"
"California";2810.464447;"Yes";"Basic";"Bachelor";"Employed";"M";26790;"Suburban";"Married";71;4;41;1;"Personal Auto";340.8;"Two-Door Car";"Medsize"
"Arizona";7739.550403;"No";"Extended";"Bachelor";"Employed";"F";64859;"Urban";"Married";96;24;11;8;"Personal Auto";266.949266;"Four-Door Car";"Medsize"
"Washington";2175.740021;"No";"Basic";"College";"Unemployed";"F";0;"Suburban";"Single";61;31;15;1;"Personal Auto";479.097472;"Four-Door Car";"Medsize"
"Nevada";3275.16199;"No";"Extended";"High School or Below";"Employed";"F";69263;"Suburban";"Married";81;8;12;1;"Personal Auto";494.847804;"Two-Door Car";"Medsize"
"Oregon";2652.695343;"No";"Basic";"Bachelor";"Employed";"M";82655;"Suburban";"Married";66;8;93;1;"Personal Auto";316.8;"Two-Door Car";"Medsize"
"California";5048.226244;"No";"Basic";"High School or Below";"Employed";"F";29401;"Suburban";"Single";65;30;56;4;"Personal Auto";312;"Four-Door Car";"Small"
"Washington";5515.41017;"No";"Extended";"Bachelor";"Unemployed";"M";0;"Suburban";"Divorced";79;5;62;7;"Special Auto";379.2;"Four-Door Car";"Small"
"Arizona";4858.429375;"No";"Basic";"College";"Employed";"F";26480;"Suburban";"Divorced";63;13;17;3;"Personal Auto";378.695238;"Two-Door Car";"Medsize"
"Oregon";2144.921535;"No";"Basic";"High School or Below";"Unemployed";"F";0;"Suburban";"Single";61;34;35;1;"Personal Auto";292.8;"Four-Door Car";"Medsize"
"California";6042.618486;"No";"Extended";"Bachelor";"Unemployed";"M";0;"Suburban";"Single";83;12;21;5;"Personal Auto";904.385726;"Two-Door Car";"Medsize"
"Oregon";3387.203337;"No";"Extended";"High School or Below";"Employed";"F";73268;"Rural";"Married";84;18;18;1;"Personal Auto";93.623377;"Four-Door Car";"Medsize"
"Oregon";10864.27491;"No";"Basic";"Doctor";"Employed";"F";95579;"Urban";"Single";67;19;78;2;"Personal Auto";308.631159;"Four-Door Car";"Medsize"
"Oregon";8842.650024;"No";"Basic";"Master";"Employed";"F";42142;"Urban";"Single";112;1;8;3;"Personal Auto";396.17554;"Sports Car";"Medsize"
"Washington";4389.279424;"No";"Basic";"Bachelor";"Employed";"M";26676;"Suburban";"Married";112;7;96;1;"Personal Auto";537.6;"SUV";"Large"
"California";30763.25637;"No";"Basic";"Bachelor";"Employed";"M";41279;"Rural";"Single";115;1;30;2;"Personal Auto";251.429988;"Sports Car";"Medsize"
"Washington";20725.37773;"No";"Premium";"Bachelor";"Disabled";"M";15529;"Suburban";"Married";273;1;64;9;"Personal Auto";1965.6;"Luxury SUV";"Small"
"Nevada";8591.305411;"No";"Extended";"Bachelor";"Unemployed";"M";0;"Suburban";"Single";128;4;24;6;"Corporate Auto";1448.994134;"SUV";"Medsize"
"Arizona";2646.573754;"No";"Basic";"College";"Disabled";"F";23170;"Suburban";"Divorced";71;21;67;1;"Personal Auto";340.8;"Four-Door Car";"Medsize"
"Oregon";4607.244307;"No";"Basic";"Bachelor";"Disabled";"F";17343;"Urban";"Single";63;9;92;5;"Corporate Auto";208.659743;"Two-Door Car";"Medsize"
"Oregon";4860.62003;"No";"Basic";"College";"Medical Leave";"M";25854;"Suburban";"Single";68;24;37;9;"Personal Auto";396.284835;"Four-Door Car";"Medsize"
"Oregon";2580.849899;"Yes";"Basic";"College";"Employed";"M";46900;"Suburban";"Married";66;13;59;1;"Corporate Auto";316.8;"Four-Door Car";"Medsize"
"Washington";8646.504109;"Yes";"Basic";"High School or Below";"Employed";"F";64125;"Urban";"Married";108;3;44;3;"Corporate Auto";369.818708;"SUV";"Large"
"California";8405.752991;"No";"Basic";"High School or Below";"Employed";"M";85355;"Suburban";"Married";71;34;47;2;"Personal Auto";458.568921;"Two-Door Car";"Small"
"Arizona";3096.511217;"Yes";"Extended";"College";"Employed";"F";21604;"Suburban";"Divorced";79;14;28;1;"Personal Auto";379.2;"Four-Door Car";"Medsize"
"Arizona";29412.2893;"No";"Basic";"High School or Below";"Unemployed";"M";0;"Suburban";"Divorced";107;0;62;2;"Personal Auto";513.6;"SUV";"Medsize"
"Washington";5898.733666;"No";"Extended";"Bachelor";"Employed";"F";53998;"Suburban";"Divorced";78;5;38;8;"Personal Auto";414.519064;"Four-Door Car";"Medsize"
"California";17497.52201;"Yes";"Basic";"College";"Unemployed";"M";0;"Suburban";"Divorced";73;9;94;2;"Personal Auto";350.4;"Two-Door Car";"Medsize"
"Nevada";3218.608644;"No";"Extended";"High School or Below";"Employed";"F";68776;"Rural";"Married";80;28;78;1;"Personal Auto";87.861666;"Four-Door Car";"Medsize"
"Oregon";23207.26972;"No";"Extended";"High School or Below";"Employed";"F";45039;"Rural";"Married";96;27;94;2;"Personal Auto";192.144838;"Four-Door Car";"Large"
"Washington";8032.401911;"No";"Basic";"Master";"Employed";"M";27658;"Rural";"Married";68;4;75;2;"Personal Auto";160.07526;"Four-Door Car";"Medsize"
"Nevada";13918.5348;"No";"Premium";"High School or Below";"Employed";"M";64113;"Suburban";"Divorced";117;24;32;2;"Special Auto";561.6;"Four-Door Car";"Medsize"
"Arizona";8966.309774;"No";"Extended";"High School or Below";"Employed";"M";41829;"Suburban";"Married";76;11;41;2;"Personal Auto";416.365369;"Two-Door Car";"Medsize"
"California";11981.98481;"Yes";"Basic";"Master";"Retired";"F";21514;"Urban";"Married";62;0;59;2;"Personal Auto";257.248789;"Two-Door Car";"Medsize"
"Nevada";5532.629846;"No";"Basic";"Master";"Employed";"M";27722;"Suburban";"Divorced";69;3;29;9;"Personal Auto";331.2;"Four-Door Car";"Medsize"
"Nevada";11660.57298;"No";"Premium";"College";"Employed";"F";21506;"Suburban";"Divorced";151;11;42;4;"Personal Auto";826.658992;"Sports Car";"Medsize"
"Oregon";2886.451602;"Yes";"Extended";"High School or Below";"Retired";"F";10312;"Suburban";"Married";78;10;63;1;"Personal Auto";486.278557;"Four-Door Car";"Large"
"Arizona";12741.84754;"Yes";"Basic";"Bachelor";"Employed";"F";73054;"Urban";"Married";106;34;36;2;"Personal Auto";419.365958;"SUV";"Medsize"
"Oregon";5398.098108;"No";"Basic";"Bachelor";"Employed";"F";73775;"Suburban";"Divorced";67;14;51;3;"Personal Auto";321.6;"Four-Door Car";"Medsize"
"California";7285.030983;"Yes";"Basic";"High School or Below";"Employed";"M";44788;"Suburban";"Married";61;6;48;2;"Corporate Auto";386.031248;"Four-Door Car";"Small"
"Nevada";17651.96339;"No";"Extended";"High School or Below";"Medical Leave";"F";22510;"Suburban";"Single";95;19;48;2;"Personal Auto";456;"Four-Door Car";"Small"
"Arizona";17029.89338;"No";"Extended";"Master";"Employed";"M";54613;"Urban";"Divorced";213;29;62;5;"Personal Auto";731.559007;"Luxury SUV";"Medsize"
"Arizona";2491.257604;"Yes";"Basic";"High School or Below";"Medical Leave";"F";25965;"Suburban";"Divorced";65;23;27;1;"Personal Auto";329.206567;"Four-Door Car";"Medsize"
"Oregon";4039.315002;"No";"Basic";"College";"Employed";"F";34911;"Rural";"Divorced";105;6;31;1;"Personal Auto";126.779673;"SUV";"Large"
"Oregon";2619.337376;"Yes";"Basic";"Bachelor";"Employed";"M";78618;"Urban";"Divorced";66;7;56;1;"Special Auto";225.578841;"Two-Door Car";"Medsize"
"Oregon";5049.689638;"No";"Basic";"High School or Below";"Employed";"F";61080;"Urban";"Single";66;7;41;9;"Personal Auto";294.284951;"Four-Door Car";"Medsize"
"Oregon";4983.457132;"No";"Basic";"Master";"Employed";"F";60415;"Rural";"Divorced";62;10;31;5;"Personal Auto";72.665253;"Two-Door Car";"Small"
"California";2530.639412;"No";"Basic";"Master";"Medical Leave";"F";25143;"Rural";"Divorced";66;34;38;1;"Corporate Auto";8.737111;"Four-Door Car";"Medsize"
"California";7396.719746;"No";"Basic";"College";"Employed";"M";41045;"Suburban";"Single";64;9;28;2;"Personal Auto";394.582401;"Four-Door Car";"Medsize"
"California";3832.898507;"No";"Extended";"College";"Employed";"M";97729;"Rural";"Married";95;18;21;1;"Personal Auto";97.176153;"Four-Door Car";"Medsize"
"Arizona";4961.405917;"No";"Basic";"High School or Below";"Employed";"F";55702;"Rural";"Married";61;13;55;6;"Personal Auto";151.13336;"Four-Door Car";"Medsize"
"California";3861.486269;"Yes";"Extended";"College";"Employed";"F";93272;"Urban";"Married";95;3;54;1;"Personal Auto";281.110788;"Four-Door Car";"Medsize"
"California";22658.53652;"Yes";"Basic";"Bachelor";"Retired";"M";23665;"Suburban";"Married";67;19;50;2;"Personal Auto";404.817249;"Four-Door Car";"Medsize"
"Oregon";10408.96865;"Yes";"Basic";"High School or Below";"Retired";"M";20228;"Suburban";"Divorced";101;3;43;2;"Personal Auto";523.815839;"SUV";"Medsize"
"Nevada";4834.710493;"Yes";"Basic";"College";"Employed";"F";38713;"Suburban";"Divorced";66;31;69;6;"Personal Auto";316.8;"Four-Door Car";"Medsize"
"Arizona";8257.666512;"Yes";"Basic";"Bachelor";"Disabled";"F";23815;"Suburban";"Married";73;4;47;2;"Personal Auto";424.330166;"Four-Door Car";"Medsize"
"Nevada";3052.629532;"No";"Extended";"High School or Below";"Unemployed";"F";0;"Suburban";"Divorced";93;15;31;1;"Personal Auto";446.4;"Four-Door Car";"Large"
"California";4012.319346;"No";"Extended";"High School or Below";"Employed";"F";47221;"Suburban";"Married";99;8;79;1;"Personal Auto";475.2;"Two-Door Car";"Large"
"Oregon";13355.48637;"No";"Basic";"Bachelor";"Employed";"M";34495;"Urban";"Married";113;27;29;2;"Personal Auto";389.673944;"SUV";"Medsize"
"Oregon";2364.43161;"No";"Basic";"College";"Employed";"M";46264;"Urban";"Single";62;17;75;1;"Corporate Auto";199.37361;"Four-Door Car";"Medsize"
"Nevada";2489.337928;"No";"Basic";"College";"Employed";"M";46051;"Suburban";"Married";63;16;34;1;"Personal Auto";302.4;"Two-Door Car";"Large"
"Nevada";4755.720009;"No";"Extended";"Bachelor";"Retired";"F";23975;"Suburban";"Married";128;8;39;1;"Corporate Auto";614.4;"SUV";"Small"
"California";13864.38495;"No";"Basic";"College";"Unemployed";"F";0;"Suburban";"Single";74;4;12;2;"Personal Auto";580.886785;"Four-Door Car";"Large"
"Arizona";3020.424822;"No";"Basic";"College";"Employed";"F";78561;"Suburban";"Married";74;7;50;1;"Personal Auto";355.2;"Two-Door Car";"Medsize"
"California";6285.305195;"No";"Extended";"High School or Below";"Unemployed";"M";0;"Suburban";"Single";90;4;63;7;"Personal Auto";432;"Two-Door Car";"Medsize"
"California";2506.021971;"No";"Basic";"High School or Below";"Employed";"F";61402;"Suburban";"Married";63;14;56;1;"Special Auto";302.4;"Four-Door Car";"Medsize"
"Arizona";2826.307641;"No";"Basic";"Bachelor";"Employed";"M";65090;"Rural";"Married";71;28;3;1;"Personal Auto";73.995096;"Four-Door Car";"Medsize"
"Nevada";4369.71794;"No";"Premium";"Master";"Employed";"M";88495;"Suburban";"Married";108;2;83;1;"Personal Auto";535.926948;"Two-Door Car";"Medsize"
"Nevada";12174.58795;"No";"Basic";"Bachelor";"Employed";"M";52797;"Rural";"Married";104;14;13;2;"Personal Auto";88.173438;"Sports Car";"Small"
"Nevada";3528.044252;"Yes";"Extended";"Doctor";"Employed";"M";31278;"Suburban";"Married";92;24;95;1;"Personal Auto";441.6;"Two-Door Car";"Medsize"
"California";10436.57466;"No";"Extended";"Bachelor";"Medical Leave";"F";24177;"Suburban";"Married";92;4;37;2;"Personal Auto";441.6;"Four-Door Car";"Medsize"
"Oregon";2746.121383;"No";"Basic";"High School or Below";"Employed";"F";96339;"Urban";"Married";68;1;44;1;"Corporate Auto";293.205349;"Four-Door Car";"Medsize"
"California";9175.171899;"No";"Premium";"Bachelor";"Employed";"M";68164;"Rural";"Single";119;27;37;6;"Personal Auto";222.582872;"Four-Door Car";"Small"
"Washington";4979.079933;"No";"Basic";"High School or Below";"Unemployed";"M";0;"Suburban";"Single";71;17;57;5;"Personal Auto";340.8;"Two-Door Car";"Medsize"
"Washington";2585.937023;"No";"Basic";"Bachelor";"Disabled";"F";21603;"Suburban";"Married";68;11;46;1;"Personal Auto";326.4;"Four-Door Car";"Large"
"Oregon";9449.745947;"No";"Basic";"College";"Unemployed";"F";0;"Rural";"Married";63;11;20;2;"Special Auto";117.744416;"Four-Door Car";"Medsize"
"California";4568.819387;"No";"Basic";"College";"Unemployed";"M";0;"Suburban";"Single";70;5;33;7;"Personal Auto";524.836298;"Two-Door Car";"Medsize"
"Oregon";2574.020376;"Yes";"Basic";"Master";"Employed";"F";34990;"Rural";"Single";65;23;73;1;"Personal Auto";42.689135;"Four-Door Car";"Medsize"
"Arizona";8789.88406;"No";"Basic";"Master";"Employed";"F";22849;"Suburban";"Married";109;5;75;4;"Personal Auto";523.2;"Sports Car";"Medsize"
"Arizona";2507.407815;"No";"Basic";"Doctor";"Employed";"M";32893;"Urban";"Married";63;13;14;1;"Personal Auto";174.086385;"Four-Door Car";"Medsize"
"Oregon";2522.41457;"No";"Basic";"College";"Unemployed";"M";0;"Suburban";"Single";73;24;15;1;"Corporate Auto";350.4;"Two-Door Car";"Medsize"
"Nevada";7542.713967;"No";"Basic";"College";"Unemployed";"M";0;"Suburban";"Single";111;7;25;3;"Personal Auto";1186.972445;"SUV";"Medsize"
"Oregon";6005.214792;"Yes";"Extended";"High School or Below";"Employed";"M";26876;"Suburban";"Single";76;17;72;8;"Corporate Auto";364.8;"Four-Door Car";"Medsize"
"Nevada";20998.25947;"No";"Basic";"Bachelor";"Employed";"M";71663;"Rural";"Married";74;23;22;2;"Corporate Auto";84.494022;"Four-Door Car";"Medsize"
"California";2345.084479;"No";"Basic";"College";"Unemployed";"M";0;"Suburban";"Single";69;1;56;1;"Personal Auto";331.2;"Four-Door Car";"Medsize"
"California";8783.165364;"No";"Basic";"High School or Below";"Disabled";"F";16994;"Suburban";"Married";112;25;12;8;"Personal Auto";806.4;"SUV";"Medsize"
"Oregon";4529.965388;"No";"Basic";"Bachelor";"Employed";"M";64270;"Rural";"Single";117;12;58;1;"Personal Auto";46.104534;"Sports Car";"Small"
"Nevada";6033.222351;"No";"Extended";"High School or Below";"Unemployed";"F";0;"Suburban";"Single";83;4;3;3;"Corporate Auto";597.6;"Four-Door Car";"Medsize"
